putative Compound	hum_101_1 _cer	hum_102_1 _cer	hum_103_1 _cer	hum_104_1 _cer	hum_105_1 _cer	hum_106_1 _cer	hum_120_1 _cer	hum_121_1 _cer	hum_141_1 _cer	hum_153_1 _cer	hum_98_1 _cer	Wt_132_1 _cer	Wt_133_1 _cer	Wt_134_1 _cer	Wt_135_1 _cer	Wt_142_1 _cer	Wt_147_1 _cer	Wt_148_1 _cer	Wt_91_1 _cer	Wt_wt1_1 _cer
Isoleucine (2TMS) [MP-1.1]	1601	824	1704	1347	1297	618	2133	2137	685	1901	1717	1652	1847	1691	2280	1979	595	852	2162	1984
Isoleucine_(2TMS)_318827.91_TRUE	1148	889	1074	1004	1091	1533	1196	1366	1121	1367	1031	1205	1183	1339	1661	1219	1735	1323	1974	1445
"Isovaleric_acid,_2-oxo-_(1MEOX)_(1TMS)_BP_269296.62_PRED"	10716	5654	6284	4400	6766	6685	6828	6881	4737	6272	5970	6123	5766	9432	9169	6136	6762	5141	5880	6317
Leucine (2TMS) [MP-1.1]	2065	2109	2097	2042	2729	3043	2187	2812	2357	3092	2321	2533	2661	2539	3541	2422	3649	2756	4627	3147
"Leucine,_cyclo-_(2TMS)_377176.62_TRUE"	373	300	495	122	534	514	351	862	365	1364	446	632	252	315	805	514	472	1663	94	722
"Levulinic_acid,_5-amino-_(1MEOX)_(3TMS)_MP_574704.06_TRUE"	5427	4147	3929	6302	4745	4102	6708	5634	5822	6916	7194	5791	6327	8658	8813	8152	9540	5125	15821	6641
Lysine (3TMS) [MP-1.1]	6551	4107	5861	6138	5390	3165	7637	8519	5532	6525	6421	7848	7628	8666	10369	9289	3910	3887	11492	11552
Lysine_(3TMS)_631402.94_PRED	1104	1106	1025	1219	1040	1168	1428	1134	1160	1075	1337	1037	1060	1437	1326	1303	1219	1070	2279	1121
Lyxonic_acid_(5TMS)_539863.25_TRUE	2011	3692	4099	2567	4114	5729	3092	3742	2962	3931	2443	3561	2520	2230	3651	1953	2015	4177	1332	2780
Lyxose_(1MEOX)_(4TMS)_BP_488187.75_TRUE	1966	2688	2973	2520	2671	2600	3246	2731	1844	3440	2826	3441	2548	2771	3256	3042	2069	2642	549	2683
Malate (3TMS) [MP-1.1]	5467	7401	6203	6722	7106	8713	7288	7340	7860	9344	5524	6721	6074	8408	10267	8589	9653	9010	8822	9119
"Maleamic_acid,_N-ethyl-_(2TMS)_459686.66_TRUE"	744	1164	1073	1181	1516	1392	1360	1481	1442	1684	1197	1698	1363	1505	2322	1472	1705	1436	2188	1327
Malic_acid_(3TMS)_442513.44_TRUE	2008	2727	2106	2431	2637	2897	2653	2796	2697	3473	1969	2592	2266	3107	3845	3070	3776	3433	3504	3427
Malonic_acid_(2TMS)_300994.53_PRED	1721	2814	1692	3365	3609	4170	3144	2756	2637	4053	1715	2119	1797	2914	2737	2098	3651	3831	1762	3234
"Mannopyranoside,_1-O-methyl-,_alpha-_(4TMS)_559825.75_TRUE"	1826	1703	1774	1744	2113	1838	2650	3023	1851	2883	2693	2303	3464	2520	3277	3177	1823	2509	2641	2416
Mannose-1-phosphate_(6TMS)_785522.56_PRED	519	541	577	401	747	729	497	767	542	818	618	772	571	561	1015	661	461	974	1212	672
Melibiose_(1MEOX)_(8TMS)_MP_914184.5_PRED	250	392	213	594	500	443	773	680	469	580	777	555	475	938	1138	1246	637	666	265	756
Methionine (2TMS) [MP-1.1]	1708	1868	1785	1732	2032	2908	2283	2529	2863	2164	1984	2535	2159	2276	2436	2621	1959	2346	3572	2291
"Mevalonic_acid-1,5-lactone_(1TMS)_454636.47_TRUE"	8879	13223	13971	13848	17896	16104	15826	16985	15580	19428	13522	18306	16180	17338	26716	16188	20566	17904	26868	15285
myo-Inositol-1-phosphate_(7TMS)_788938.62_PRED	758	832	771	564	1058	1118	706	1112	702	1215	864	1090	792	730	1512	929	618	1367	1744	837
NicotiaNaNmine_(4TMS)_902113.62_PRED	1513	1817	1691	1639	1950	2132	1534	2162	1868	2640	1962	1860	1759	1989	2490	2112	2220	2610	2817	2252
NicotiNaNmide (1TMS) [MP-1.1]	5185	6320	5694	6653	7430	6944	5938	5629	5617	6604	6025	6642	6431	8994	10821	8086	10933	7779	17099	6062
NicotiNaNmide (2TMS) [MP-2.1]	926	2604	2400	1088	2811	3571	1248	1409	1249	2322	994	2038	990	1238	2167	1385	1436	3206	349	1155
"NoNaNn-1-ol,_n-_(1TMS)_336924.19_PRED"	55391	67871	69409	65899	72644	77149	73167	72885	62823	79539	67981	74798	63961	79189	91717	75289	70765	73305	127796	69714
NoNaNnoate ((1TMS)) [MP-1.1]	578	1169	741	395	1174	1922	2024	1187	478	1200	740	757	561	524	1678	572	836	NaN	1729	953
Norleucine_(2TMS)_337195.69_TRUE	244827	291222	291292	278129	305297	326057	309667	312955	283347	345139	289131	331906	290714	353141	394878	331301	340932	320664	584458	295494
"Octadecadienoic_acid,_9,12-(Z,Z)-_(1TMS)_775215.19_PRED"	20278	17836	25113	17882	22709	25396	20529	18945	12736	15412	22506	18728	16314	16188	21889	15572	14273	22799	19409	19403
"Octadecan-1-ol,_n-_(1TMS)_754094.19_PRED"	1268	1238	1293	1161	1420	1252	1304	1471	1189	1447	1282	1362	1294	1296	2071	1449	1646	1225	691	1475
Ornithine (4TMS) [MP-1.1]	603	407	556	499	572	549	881	790	434	625	438	609	524	866	884	613	389	431	1437	766
Ornithine_(3TMS)_(Derivate_not_found)_492548.84_PRED	4975	6100	8115	6539	6546	6260	7726	6884	4951	8514	6966	7947	6664	6918	8090	7975	6023	7035	995	6621
Ornithine_(3TMS)_587245.62_PRED	4568	1794	2902	3693	2056	1392	4790	6476	1221	3127	4134	3100	4875	5549	7022	5450	1673	1544	15270	6159
Ornithine_(4TMS)_572079.81_PRED	18188	13416	13273	19954	15822	14427	21512	18591	19355	21221	23102	18988	20293	27966	28498	26236	32428	17249	53074	21759
"Orotic_acid,_4,5-dihydro-_(3TMS)_616339.19_TRUE"	747	814	1156	915	1032	1029	1343	1060	606	1215	953	1329	1159	972	1267	1065	700	850	247	1249
Orthophosphate	780794	898527	865840	855160	898332	941757	895865	919729	951408	1081441	894592	1054518	949727	1152628	1198893	1043000	1266365	1027912	1989612	881742
Oxalic_acid_(2TMS)_236929.91_PRED	40216	62747	53476	30902	62568	112763	29766	35905	33140	99877	33875	55111	22867	34469	35338	44216	43631	99572	37627	31209
"Pantothenic_acid,_D-_(3TMS)_680979.56_PRED"	671	743	708	713	750	903	730	595	623	781	731	715	650	763	749	717	818	774	1250	493
"Pentadecan-1-ol,_n-_(1TMS)_636157.25_PRED"	3875	3684	3610	4041	3548	4657	4382	4180	3934	3988	4362	3723	4008	4721	4594	4591	4064	3768	8132	3880
"Pentadecane,_n-_462471.41_PRED"	2335	3451	3774	3597	4599	4175	4121	4463	4045	5165	3690	4769	4225	4466	6641	4230	4938	4410	6711	4188
"Pentadecanoic_acid_methyl_ester,_n-_620606.38_PRED"	4506	3936	4467	4575	4066	4859	5363	4497	4493	4459	4936	4414	4607	5609	5187	5367	4769	4205	4713	4653
Phenethylamine_(2TMS)_490740.62_TRUE	109703	133647	168627	142038	139453	135125	161848	149315	108026	183910	148445	171236	140483	147067	171564	168648	123987	144128	21091	144484
Phenylalanine (2TMS) [MP-1.1]	2179	2654	2600	2538	3114	3211	2768	2812	2752	2783	1936	3056	3596	2916	3372	2875	2845	2554	3801	2514
Phenylalanine_(1TMS)_492082.22_PRED	11243	13995	17552	14717	14459	13176	17004	15362	11148	19441	15483	17953	14402	14975	17491	17633	12725	15090	1935	14916
Phenylpyruvic_acid_(2TMS)_575884_TRUE	6465	4863	5145	6924	5294	4857	7546	6722	7479	7626	8269	7209	7453	9698	9958	9257	10956	6168	18630	7927
"Pimelic_acid,_2,6-diamino-_(4TMS)_654293.81_TRUE"	1040	1117	1153	1245	1193	1474	1320	1452	1303	1495	1326	1367	1183	1449	1943	1455	1334	1453	2076	1529
Pipecolate [MP-1.1]	477	441	548	409	621	649	511	633	422	601	542	489	453	429	661	476	554	544	501	582
Proline [MP-1.1]	5340	5872	6279	5343	6356	8049	6467	7381	6530	6550	5648	6820	6384	6906	7773	7264	7765	6113	9243	7857
"Proline, trans-4-Hydroxy- (3TMS) [MP-1.1]"	496	516	561	474	733	812	730	1043	786	782	708	840	863	697	911	689	796	798	658	890
"Proline,_4-hydroxy-,_trans-_(3TMS)_450628.06_PRED"	7244	4364	7460	9131	5487	2736	9541	9747	5293	8791	7969	8693	9762	11913	14843	13526	3972	3971	19140	11213
Proline_(2TMS)_340374.03_PRED	19245	11839	14465	17931	13758	14219	16586	18750	18075	20386	19105	13815	14494	17961	20904	20534	26996	13893	32645	20175
Proline_[+CO2]_(2TMS)_534232.75_TRUE	8461	14966	16256	9642	15876	21472	11703	14290	11858	15328	9673	14239	10579	8890	14388	8865	8278	16441	4758	11083
Psicose_(1MEOX)_(5TMS)_BP_573563.38_TRUE	5395	4197	4183	5890	4931	4434	6574	5725	5970	6388	6878	5957	6325	8397	8169	7856	9456	5336	15356	6874
Putrescine_(4TMS)_519185.38_PRED	325	1479	515	364	1911	5135	382	266	1953	903	457	NaN	146	381	549	448	3528	3639	56	378
"Pyridine, 2-Hydroxy- (1TMS) [MP-1.1]"	11428	9995	8874	10104	8107	12453	11675	11458	9340	9416	11372	7404	8571	10538	12372	10505	9898	7531	NaN	11511
"Pyridine,_3-hydroxy-_(1TMS)_283546.44_PRED"	669	400	372	638	427	457	971	769	428	404	829	345	659	692	914	723	579	313	1336	911
Pyroglutamate (2TMS) [MP-1.1]	218703	238542	255013	265668	268473	304639	277617	258792	288991	354284	260222	293720	303097	323309	344976	295143	341052	329832	NaN	271754
Pyrophosphate [MP-1.1]	2014	1247	1579	1811	1638	1840	2768	3856	1863	3608	3108	2797	2443	3047	2680	4295	1614	2946	719	2923
Pyruvate (1MEOX;1TMS) [MP-1.1]	1342	1228	1688	2062	1385	2163	1721	2356	2620	2395	1959	2779	1653	1759	2693	1642	2566	1705	2105	1817
Rhamnose (1MEOX;4TMS) [MP-1.1]	551	532	1727	1605	616	391	1800	1923	1522	1948	1785	1766	1580	2201	2280	2109	1732	1606	293	1720
Rhamnose_(1MEOX)_(4TMS)_MP_517543.41_PRED	443	1316	1793	1556	1757	3387	1826	1658	2793	2347	1860	2044	1386	2055	1970	1900	3956	3815	78	1731
"Ribonic_acid-1,4-lactone_(3TMS)_550463.56_TRUE"	15063	14319	12397	13315	17689	12955	18858	23629	16372	21813	20003	17823	14062	18508	25394	22029	19852	18682	21197	15708
Ribose_(1MEOX)_(4TMS)_MP_503578.66_TRUE	23598	26219	28943	28089	29702	33869	31837	30310	28508	37333	28507	30683	28582	32796	37660	30527	29403	34368	34997	30434
Serine (2TMS)	672	248	292	644	322	170	722	878	504	364	672	334	684	945	1106	901	598	282	730	996
Serine (3TMS) [MP-1.1]	15183	15564	16908	14911	17722	19843	17628	18256	17757	18810	16363	18036	18330	20848	20440	18581	19272	18808	27967	18437
Serine (4TMS)	1111	1725	1881	1813	2348	2026	2056	2210	1975	2533	1755	2412	2040	2244	3512	2120	2571	2215	3644	1956
"Serine,_N-acetyl-_(2TMS)_491357.06_PRED"	29933	36457	46343	38865	38096	36734	44157	40173	30621	51268	41252	48051	38999	41667	47765	47308	36366	40108	4328	39450
"Serine,_O-acetyl-_(2TMS)_410213.62_TRUE"	2927	87	88	2602	102	158	4216	1991	732	73	2694	95	2299	2464	3514	2934	799	79	4748	3550
Serine_(2TMS)_328955.09_PRED	9089	10655	10458	10591	11576	12450	11391	11516	10123	12976	10906	11759	10396	12830	14325	12316	12050	11812	20931	10778
Siloxane_596806.25_PRED	1537	1605	1592	1601	1736	1760	1356	1550	1658	1552	1594	1555	1512	1540	1619	1705	1574	1624	1718	1580
Siloxane_739483_PRED	655	740	582	578	1103	1364	1054	580	324	486	714	615	551	507	1100	690	473	630	1216	871
similar_to_Asparagine_Derivate_505075.09_PRED	22189	24148	25701	26440	27419	30557	28096	26598	29133	35660	26228	30063	29863	32848	35759	29457	33977	33053	31210	27377
similar_to_Diethanolamine_(2TMS)_335362.44_PRED	820	1028	1009	936	1023	1187	1018	1107	940	1203	1050	1102	1041	1193	1392	1221	1266	1107	1984	887
"Sorbitol, U13C-"	22254	19331	21340	17585	30749	27844	32630	33128	21307	27214	26424	22976	21786	24304	35926	26675	23049	26333	38211	30131
Spermidine (4TMS) [MP-6.1]	594	556	362	560	591	726	693	656	1168	854	661	319	1194	663	683	705	637	629	925	729
Spermidine (5TMS) [MP-1.1]	416	324	619	685	286	224	672	831	386	614	575	511	625	433	1041	536	199	139	504	705
SucciNaNte (2TMS) [MP-1.1]	4939	4432	5463	5398	4400	5907	6585	6492	6247	6604	5011	6350	6173	6453	7849	6730	5568	4362	9974	8248
Succinic_acid_(2TMS)_365265.25_TRUE	44616	39024	48250	46430	38691	55409	58608	56384	57122	59619	44903	56258	55633	57658	68601	57853	51369	37590	89208	72779
Tartaric_acid_(4TMS)_511834.44_TRUE	23967	26064	30278	29834	30499	32224	33283	30317	31460	39417	30501	33031	31608	36089	40196	33530	33634	35555	34264	31218
Tetradecanoic_acid_methyl_ester_(FAME_MIX)_489255.38_PRED	94335	116273	142901	121339	121524	117193	138999	125304	96568	153807	128687	146788	120294	126238	148232	144241	109254	123904	14343	123604
Threonine (3TMS) [MP-1.1]	7295	7750	8787	7859	8883	9270	7721	8755	7770	9332	8027	8400	8809	9967	9384	8972	9233	8475	13861	8836
"Threonine,_O-methyl-,_L-_(2TMS)_334293.72_PRED"	479	487	570	538	536	540	526	531	574	663	591	559	542	726	723	699	692	680	1055	550
"Tridecan-1-ol,_n-_(1TMS)_547762.06_PRED"	7946	7735	6653	7278	9582	6748	10321	12901	9074	12368	10929	9917	7888	10231	14119	11563	10650	9987	11746	8589
"Tridecane,_n-_342778.75_PRED"	49325	32228	38725	47092	35620	39905	44583	50931	48310	52588	48392	36937	36303	45463	54795	52760	69471	36004	85370	53159
Triethanolamine_(3TMS)_493189.91_PRED	13567	16687	21164	17871	17131	16125	20622	18331	14053	23844	18525	21807	18207	19370	21808	21626	15820	18336	2027	18102
Tropine_(1TMS)_336960.03_PRED	14960	18018	18812	17419	19023	19996	18967	19463	18027	22057	18619	20921	18411	21826	24931	20836	19368	19939	36022	18279
Tropinone_(1MEOX)_343648.91_PRED	16971	11176	13134	16240	12170	13104	14721	17411	16110	18587	16678	12655	12539	16205	18683	19009	25600	12132	27761	17253
Tryptophan (3TMS) [MP-1.1]	924	1450	1183	1434	1793	1373	1780	2035	1321	1610	946	2185	1866	1555	2004	1580	2221	1816	1099	1459
Tyrosine (3TMS) [MP-1.1]	3741	3569	3786	3796	4780	4874	5112	5524	5195	4142	4132	5498	5964	5274	5124	5531	4119	4191	6154	4911
Tyrosine_(3TMS)_659029.31_TRUE	134308	136617	152192	146299	158243	187774	166024	168040	157978	168218	168666	169824	144744	162036	230805	168681	158344	171844	245569	179848
Uracil (2TMS) [MP-1.1]	265	640	823	395	887	1033	437	465	478	790	331	672	496	312	791	491	443	625	736	526
Urea (2TMS) [MP-1.1]	87836	57788	69246	85075	64446	70003	79044	89574	88815	95632	87977	66111	65469	81871	97188	95719	117393	65320	158143	96701
Uridine_(4TMS)_863220.75_TRUE	755	1117	1077	844	813	1187	756	825	620	1171	610	921	483	853	890	660	1056	967	1100	993
Uridine_5'-monophosphate_(5TMS)_995880.69_TRUE	2190	1832	1679	1412	1414	2107	1080	1932	900	1712	1142	2531	1885	1302	2189	803	2576	1320	1713	1368
"Valeric_acid,_3-hydroxy-3-methyl-_(1TMS)_235895.11_PRED"	4221	6510	5615	3139	6446	11185	2986	3798	3106	10370	3478	5622	2371	3540	3614	4442	4319	10116	3798	3338
Viburnitol_(5TMS)_635711.5_PRED	3590	3146	3942	3907	3755	2972	4715	4542	3554	5428	3786	5106	4349	5069	6424	4413	4008	4133	6056	4630
Xylitol (5TMS) [MP-1.1]	999	1700	1376	1428	1726	2444	1266	1488	1486	2204	1474	1064	1053	1453	2015	1429	1665	1919	2896	1754
Xylose (1MEOX;4TMS) [MP-1.1]	1013	1138	1131	1057	1083	1571	1076	1233	1056	1590	1216	1227	928	1298	1583	1400	1146	1300	2191	983
Xylose (1MEOX;4TMS) [MP-1.2]	839	389	414	960	499	597	963	667	674	901	906	669	664	1526	1288	1391	1227	555	958	899
