putative Compound	hum_101_1 _cer	hum_102_1 _cer	hum_103_1 _cer	hum_104_1 _cer	hum_105_1 _cer	hum_106_1 _cer	hum_120_1 _cer	hum_121_1 _cer	hum_141_1 _cer	hum_153_1 _cer	hum_98_1 _cer	Wt_132_1 _cer	Wt_133_1 _cer	Wt_134_1 _cer	Wt_135_1 _cer	Wt_142_1 _cer	Wt_147_1 _cer	Wt_148_1 _cer	Wt_91_1 _cer	Wt_wt1_1 _cer
"CinNaNmic_acid,_3-hydroxy-,_cis-_(2TMS)_599148.38_TRUE"	15711	15923	16365	14749	15667	17095	13792	13741	15132	15494	15472	14345	14435	14669	15988	15559	15963	15216	15270	14988
"CinNaNmic_acid,_3-hydroxy-,_trans-_(2TMS)_653564.75_TRUE"	58974	59540	65654	64813	69440	81937	72546	73991	69046	75512	75043	74511	63524	71557	103706	73658	70060	75131	107726	79758
"CinNaNmic_acid,_3-methoxy-,_cis-_(1TMS)_587950.5_TRUE"	5108	4418	4810	3930	6671	6437	7496	7054	4854	5988	5923	5060	4764	5472	8013	5751	5154	5798	8418	6544
"CinNaNmic_acid,_3-methoxy-,_trans-_(1TMS)_649428.75_TRUE"	347000	357554	391492	371184	413329	494545	433645	437407	388376	427894	424014	418132	352884	394101	573792	419069	382442	433007	609234	455939
Citrate (4TMS) [MP-1.1]	6034	7641	6433	6425	6439	8063	6771	7272	7691	8308	6273	6901	6474	7310	7883	6970	8868	7097	11286	7089
Cystathionine_(4TMS)_754589.12_TRUE	1225	1402	1576	1391	1641	1451	1317	1469	1322	1457	1004	1409	1390	1303	1424	1347	1527	1439	1866	1444
Cysteine_(3TMS)_479326.28_TRUE	1840	1927	1752	2347	2277	3159	1816	2082	1982	3283	1921	1509	1867	1940	2208	2451	2446	2444	2435	2773
Cytosine_(2TMS)_515287.31_TRUE	295	1295	586	340	1673	4274	422	177	1778	828	473	701	163	411	666	408	2892	3126	94	402
Dehydroascorbic_acid_(2MEOX)_BP_639171.94_PRED	8098	7626	7572	8424	6614	8912	8808	7989	8329	7870	8481	7620	8163	9880	9100	9660	8268	7549	15080	7728
"Docosahexaenoic_acid,_4,7,10,13,16,19-(Z,Z,Z,Z,Z,Z)-_(1TMS)_907201.25_TRUE"	2425	2819	2723	2723	3103	3274	2405	3123	3003	4093	2938	2688	2697	3151	3775	3103	3546	4014	4419	3519
Dodecane_260776.19_PRED	23888	11531	14089	7618	17040	11983	12673	13238	9758	12308	10220	10281	9674	23161	14343	11955	16841	8147	1122	9663
Dodecanoate (1TMS) [MP-1.1]	1286	656	1404	1346	656	1019	1840	1956	1370	1751	1734	1723	1426	1772	1958	1704	1794	1810	551	1460
Eicosanoic_acid_methyl_ester_(FAME_MIX)_818614.44_PRED	433	614	577	423	619	771	721	591	415	551	495	467	349	426	686	488	401	510	715	573
Ergosterol_(1TMS)_1051145.12_PRED	879	809	842	980	975	1017	1330	1242	951	1105	1177	1087	1654	1459	1793	1426	1273	1095	1721	1192
"Erythronic_acid-1,4-lactone_(2TMS)_462181.38_TRUE"	13483	21103	23104	22392	28681	25084	25664	27047	26548	30988	22454	29978	26593	28545	43219	26735	35009	28884	45778	25036
Ethanolamine [MP-1.1]	66580	2496	3046	58338	3283	1864	94357	49434	18151	4528	63623	2357	49493	57785	82155	65822	18639	1804	76089	82417
Ethanolamine_(3TMS)_321815.91_PRED	27874	14959	24563	29711	22834	9822	36103	59187	21118	27290	28970	30254	32736	40667	80939	40692	17877	11906	84131	52438
FAME C10:0	85796	94097	117669	85271	133545	154036	128546	115389	76495	91049	93855	87453	72175	78562	130055	88887	72462	89510	144528	105066
FAME C12:0	101600	119365	137411	103153	163273	191623	157497	144021	95184	111637	112310	105851	88373	95506	151085	113393	88714	113846	150899	125013
