putative Compound	hum_101_3 _hea	hum_102_3 _hea	hum_103_3 _hea	hum_104_3 _hea	hum_105_3 _hea	hum_105_3 _hea	hum_106_3 _hea	hum_120_3 _hea	hum_121_3 _hea	hum_141_3 _hea	hum_153_3 _hea	hum_98_3 _hea	Wt_132_3 _hea	Wt_133_3 _hea	Wt_134_3 _hea	Wt_135_3 _hea	Wt_142_3 _hea	Wt_147_3 _hea	Wt_148_3 _hea	Wt_152_3 _hea	Wt_91_3 _hea	Wt_wt3_3 _hea
"Butanoate, 4-Amino- (2TMS) [MP-2.1]"	51615	31454	39672	36890	50539	5466	60485	58060	64023	51802	54110	99034	52129	52200	59497	34370	57005	36085	49534	55890	109426	32271
"Butanoate, 4-Amino- (3TMS) [MP-1.1]"	590	601	455	534	369	130	422	795	462	442	1324	1895	1018	746	1641	299	574	549	859	1930	2877	525
"Butanoic_acid,_2-amino-_(2TMS)_249223.84_TRUE"	898	650	550	695	1268	149	1089	1371	788	779	1185	850	889	653	1212	944	700	1005	865	1022	1201	560
"Butanoic_acid,_2-oxo-_(1MEOX)_(1TMS)_MP_252911.77_PRED"	123865	70327	49820	99710	309656	14813	107834	240316	401209	319824	178292	33028	284806	215287	320373	118980	99958	128829	86158	183593	19393	90778
"Butanoic_acid,_3-hydroxy-_(2TMS)_249401.72_PRED"	3000	2286	2014	2490	6301	761	4267	6238	2969	2969	4759	5035	4355	2026	6363	4351	2037	4486	4513	4663	4984	1407
"Butanoic_acid,_4-amino-_(2TMS)_342578.41_TRUE"	11753	7167	8421	8025	10285	1239	13002	12752	13337	11245	12091	22161	12200	11096	13040	7671	12087	8034	11027	11914	23593	7317
"Butyrate, 2-Amino- [MP-1.1]"	898	650	550	695	1268	149	1089	1371	788	779	1185	850	889	515	1212	944	700	1005	865	1022	1201	560
"Butyric_acid,_2,4-diamino-,_DL-_(3TMS)_438050.91_PRED"	774	1285	816	986	1881	118	683	1602	1738	1112	1035	1624	1883	1344	1365	1229	956	1342	1437	1728	1854	838
"Butyric_acid,_3-amino-,_DL-_(2TMS)_281258.31_PRED"	13608	12454	14250	17806	30033	5189	19413	85255	39781	49711	2074	2421	78163	52316	56771	13843	38292	1346	22980	51184	54755	1670
"Butyro-1,4-lactam_(1TMS)_241244.02_PRED"	12424	9616	4574	6544	4357	80	13834	10322	8012	10481	16647	1146	8347	4378	9160	7557	4512	11046	6684	4701	872	7968
Caffeine_754467.62_TRUE	1206	1079	858	971	1619	390	1659	1611	2072	1130	1344	890	2022	1486	1982	1276	699	1026	1157	1624	934	863
Calystegine_A3_(1MEOX)_(3TMS)_BP_588253.69_PRED	2019	2998	2955	1769	2494	6813	1278	3384	2781	6320	1465	5114	3667	6108	2493	3422	7028	3715	4927	4389	4568	4536
Calystegine_A3_(1MEOX)_(3TMS)_MP_554707.88_PRED	1157	1013	963	1205	1395	45	1483	1374	1841	1300	1324	1819	2004	1454	1778	1129	705	1082	865	1496	1844	1069
Calystegine_B4_(1MEOX)_(3TMS)_598843.25_PRED	4710	6178	5891	4537	5459	13495	4494	7377	6871	10181	5028	9530	7463	10716	6152	7449	10826	7152	8821	8654	8705	7872
"Caproic_acid,_6-amino-_(3TMS)_546902.25_TRUE"	531619	504804	469020	518122	670144	17670	671127	551329	889588	547049	565753	837137	805498	607052	919000	608003	288213	481332	453985	674767	851647	434663
Cellobiitol_(9TMS)_870156.12_PRED	331	293	307	221	493	2913	387	835	300	262	580	583	327	546	570	317	515	719	879	1613	1315	1487
"Cholesterol, D6-"	5448	4498	4756	5912	10797	868	6761	14476	9667	8134	6022	9164	12514	8860	NaN	5624	5963	6186	NaN	8280	9181	4809
"CinNaNmic_acid,_3-hydroxy-,_cis-_(2TMS)_599148.38_TRUE"	11227	10548	11216	11929	12510	1519	13062	9445	11481	7546	14277	7326	10656	6156	12844	10041	5169	9330	8786	9357	8277	8834
"CinNaNmic_acid,_3-hydroxy-,_trans-_(2TMS)_653564.75_TRUE"	1269	1745	1140	1333	1729	201	2045	2053	2754	1719	2003	2574	2362	3916	3302	2025	2011	1399	1706	2608	2703	1938
"CinNaNmic_acid,_3-methoxy-,_cis-_(1TMS)_587950.5_TRUE"	5489	8676	8210	5072	6538	20169	3361	9384	7923	17034	4093	13846	11033	17699	6539	9998	20502	10994	14249	11993	13121	13065
"CinNaNmic_acid,_3-methoxy-,_trans-_(1TMS)_649428.75_TRUE"	8081	11433	7606	8112	10316	1401	13067	12862	17269	11796	12423	17786	15284	26083	21375	13123	13259	8758	10825	16336	17634	13108
Citrate (4TMS) [MP-1.1]	10805	8522	8808	11922	12893	1444	6950	13398	10791	9817	8727	19479	12705	14042	9356	8608	7964	6777	5977	10126	12312	7542
"Cysteine,_N-acetyl-_(3TMS)_554708_TRUE"	919	830	799	934	1097	43	1162	1023	1409	871	942	1457	1446	943	1328	893	553	847	698	1013	1408	827
"Cysteine,_S-methyl-,_DL-_(2TMS)_426358.72_PRED"	1488	1337	1512	1868	3195	494	2062	8976	4244	4640	126	191	7808	5218	5732	1456	3751	89	2608	5018	5642	115
Cysteine_(3TMS)_479326.28_TRUE	387	717	393	523	1038	182	808	655	596	588	994	732	484	829	1347	627	527	533	500	793	1031	602
"Decanoic_acid,_methyl_ester_(FAME_MIX)_363535.16_PRED"	1697	921	878	1205	1036	131	1300	2281	2302	1474	3128	2158	2862	1794	2707	2262	835	1363	1446	2088	2341	1893
Docosanoate (1TMS) [MP-1.1]	2070	1865	1117	1335	2464	218	2659	3030	2711	2031	4392	2140	3346	2436	3854	2317	2011	2218	2279	3400	3312	2251
Docosanoic_acid_(1TMS)_904290.44_TRUE	1391	1137	739	981	1771	144	1554	1974	1637	1271	2769	1437	2514	1596	2303	1647	1494	1611	1531	2094	2275	1429
Dodecane_260776.19_PRED	13146	7783	5327	10743	34793	1558	11593	25096	42097	34199	19228	3376	30369	23086	34146	12385	10525	13813	9145	18905	2222	9474
Dodecanoate (1TMS) [MP-1.1]	1346	1235	943	973	2186	68	1643	1968	2213	1314	1290	1021	2205	1298	2025	1814	1148	1391	1408	1938	1017	796
Ergosterol_(1TMS)_1051145.12_PRED	3151	2033	2254	2710	3339	369	3743	3984	5140	2655	3558	4616	4973	2909	8091	3564	1685	2126	4310	3687	6348	2424
"Erythronic_acid-1,4-lactone_(2TMS)_462181.38_TRUE"	4552	4222	4274	4575	9803	356	6092	14479	15687	11081	8038	8109	9670	19278	6855	11261	6809	7239	5503	8516	8158	10319
Ethanolamine [MP-1.1]	29050	26658	30356	37209	62904	11087	41985	187751	84263	105687	2486	4802	168908	113112	122609	28552	84348	1625	49553	109996	117782	2253
Ethanolamine_(3TMS)_321815.91_PRED	16325	34284	16160	16599	11323	13233	23854	25157	19286	24571	15977	50543	35888	28260	40349	18249	22667	8169	12122	19623	51161	14554
FAME C10:0	106840	83932	94520	113220	189191	13989	127387	276106	169759	146620	113333	210937	251918	180020	185473	103326	110278	120708	91390	158925	179707	95806
FAME C12:0	125201	101190	108839	132432	232557	16624	154320	313818	205449	181424	131926	228223	303678	213088	215798	118803	127208	145339	112179	191554	200710	110427
FAME C14:0	143512	119648	127214	160576	251778	19706	183026	368698	232822	200898	156074	263395	330903	243721	254713	138082	150517	163450	128688	210899	231070	128314
FAME C16:0	110015	90358	100810	119370	194818	16295	134564	281817	180152	163210	123454	202321	256993	188983	193166	108469	116412	117541	97981	162511	180988	97174
FAME C18:0	39463	34036	37409	43635	73103	5642	48299	108993	65397	57520	43873	71495	96382	65523	69599	37643	40522	42471	36255	58554	66271	32838
FAME C20:0	38624	31719	35376	42502	67415	5400	48959	103160	63438	56879	42760	70897	90099	66549	71706	37638	43166	44453	33755	54445	64034	34627
FAME C22:0	31993	26776	28792	33843	58928	4699	40763	84926	50249	47132	37109	60140	76777	54800	57104	31290	33931	36310	28635	50054	52785	27753
FAME C24:0	24375	20576	22333	26827	41971	3659	30953	64450	41242	34931	27767	44313	57959	39648	43543	24960	27156	27416	21188	39579	41218	22503
FAME C26:0	17972	15528	17321	20542	33523	2920	23621	51551	30767	26841	21482	34221	46382	32121	36365	18627	20019	21168	19509	29568	32338	16986
FAME C28:0	14929	11586	12973	16300	25893	2033	19131	39914	24202	20515	15481	24626	33154	23770	36489	14206	16103	15891	18719	21546	24771	12631
FAME C30:0	7243	5078	6058	7542	11958	907	8431	18749	10841	9608	6753	10457	15469	10826	19379	6282	6544	7119	10959	10380	12047	5370
FAME C8:0	13412	10111	10883	13741	28871	1738	15204	34048	26702	21629	15913	15115	31232	22803	26622	12964	13541	14879	11031	19621	13903	11511
FAME C9:0	77264	59883	71838	84156	145659	10808	93073	209890	125841	110052	82659	157677	184378	134814	134464	74688	83634	88446	66117	120509	140370	69930
Fructose (|Psicose) (1MEOX;5TMS) [MP-1.1]	784	714	1189	878	723	261	888	1227	1303	1035	1182	1417	1564	3773	1161	940	952	1602	1868	3546	1560	2042
Fructose (|Sorbose) (1MEOX;5TMS) [MP-1.2]	436	311	650	600	469	148	449	1115	804	535	760	960	641	2041	680	503	506	789	1169	2132	982	1171
Fructose 6-P (1MEOX;6TMS) [MP-1.1]	575	822	557	751	523	171	599	1090	1278	469	756	2261	1705	489	NaN	772	358	1537	1499	1439	1884	1365
Fructose 6-P (1MEOX;6TMS) [MP-1.2]	186	628	405	597	383	128	495	1051	1145	330	872	2037	1499	294	838	684	114	1537	1602	1649	1817	1287
Fructose_(1MEOX)_(5TMS)_BP_585803.75_TRUE	17622	27283	26358	15879	20711	66517	10496	30679	25728	56183	13156	43916	33254	55267	21442	30452	64956	33977	44164	38570	41685	40261
"Fructose-2,6-diphosphate_(7TMS)_912183.75_PRED"	653	778	577	990	789	7	908	2022	3793	1211	3669	3343	2966	739	2192	1697	332	1653	2307	3515	2979	1553
Fructose-6-phosphate_(1MEOX)_(6TMS)_BP_(Derivate_not_found)_768948_TRUE	215	918	600	785	696	174	655	1374	1744	441	1123	2894	1834	438	1069	1021	191	1983	2303	2234	2434	1690
Fucose_(1MEOX)_(4TMS)_MP_522432.03_TRUE	1256	1254	881	894	1697	48	1703	1383	2316	591	1096	666	1729	1245	2356	1235	565	1261	1106	1767	847	520
Fumarate (2TMS) [MP-1.1]	3093	7720	4778	5377	11682	695	7583	9487	10919	7958	7810	9900	11368	7095	8762	8230	8246	9104	9111	9745	12493	4529
Galactaric_acid_(6TMS)_658294.38_TRUE	7573	11018	7144	7731	10021	1227	12423	12021	16365	11246	12165	16894	15129	24439	19689	12856	12132	8436	10130	15981	16864	12717
"Galactopyranoside,_1-O-methyl-,_alpha-_(4TMS)_585464.62_TRUE"	20129	30922	29638	18710	22303	45418	12307	33667	27669	61448	15208	48635	37321	61811	23756	35172	72291	38253	49191	43279	47359	45831
"Galactopyranoside,_1-O-methyl-,_beta-_(4TMS)_598177.19_TRUE"	24540	25288	25266	24960	23776	21323	25765	22830	24472	24046	27762	22056	25425	22271	26275	25700	21420	24666	25046	24374	23784	24424
"Glucaric_acid-1,4-lactone_(4TMS)_660551.44_TRUE"	636	849	978	735	728	1552	398	1237	1060	1776	480	403	1245	2078	940	952	1910	1026	1541	1439	577	1204
GlucoNaNte|GalactoNaNte [MP-1.1]	551	989	707	885	970	370	846	1556	1404	992	673	1003	1640	1293	1316	1190	1205	1080	945	1261	1003	927
"Gluconic_acid,_2-oxo-_(1MEOX)_(5TMS)_BP_593592.06_TRUE"	1693	2664	2613	1642	2315	4928	1129	3079	2658	5352	1306	4193	3484	5317	2172	2994	6068	3363	4357	3944	4136	3710
"Gluconic_acid-1,4-lactone_(4TMS)_646839.44_PRED"	367	501	607	337	447	982	256	895	465	959	275	736	766	1125	492	599	958	572	714	524	909	645
Gluconic_acid-6-phosphate_[-H2O]_(5TMS)_762561.19_TRUE	575	822	557	751	523	171	599	1090	1278	469	756	2261	1705	489	858	772	358	1537	1499	1439	1884	1365
"Glucopyranose,_D-_(5TMS)_678044.25_PRED"	1637	1113	1113	1161	1710	27	2076	1739	1981	992	1779	2123	1878	1252	2219	1328	709	1238	1142	1707	2748	1500
Glucopyranose_[-H20]_(4TMS)_561007.94_TRUE	1124	1113	1034	931	1314	886	1285	1404	2078	1148	1356	2771	1938	1478	1886	1462	1027	1653	1462	1518	1960	1440
"Glucopyranoside,_1-O-methyl-,_alpha-_(4TMS)_613929.06_TRUE"	1846	1918	1492	1787	1495	336	2659	3283	2289	2438	2112	2824	2998	1886	3337	2088	1791	1674	1627	2290	2723	2104
Glucose (1MEOX;5TMS) [MP-1.2]	17286	21161	20596	16313	18801	46364	14282	21579	20793	33755	15983	29829	24080	35007	19046	24895	36191	24879	29761	27281	28334	26972
Glucose 6-P|Galactose 6-P (1MEOX;6TMS) [MP-1.1]	523	2619	1830	2323	1675	523	2168	3880	4956	1418	3501	8844	5781	1236	3230	3007	520	6037	6859	6614	7533	4973
Glucose_(1MEOX)_(5TMS)_BP_599322.19_TRUE	6302	8883	8798	5964	7266	24234	4361	9085	8001	15793	5186	13038	9814	16167	7115	10370	16915	10275	13665	11619	12098	11989
Glucose-6-phosphate_(1MEOX)_(6TMS)_BP_781714.75_PRED	134	505	336	472	476	89	373	895	982	368	667	1764	1127	250	593	629	90	1265	1242	1296	1458	941
"Glucuronic_acid-3,6-lactone_(1MEOX)_(3TMS)_MP_657311_TRUE"	14428	19470	13598	14405	18469	2355	23217	22480	30220	20307	21711	30118	27363	44329	37814	23052	23074	15356	18959	29459	30804	23465
Glutamate (3TMS) [MP-1.1]	115779	135754	102626	110216	157593	6748	161640	148934	220731	130967	201647	110556	205714	152959	262745	155134	96380	155124	182003	175161	167471	154267
Glutamine ([-H2O]2TMS) [NN-3.1]	1352	1358	1038	1441	2579	86	1750	1532	1166	948	3461	2375	1768	940	1432	1075	673	2016	1006	1344	1642	2217
Glutamine [MP-1.1]	230384	209765	218288	239861	239671	17205	259980	179454	215552	135395	273496	128309	204765	105445	257136	200410	90003	181312	170862	180182	156983	175007
"Glutaric_acid,_2-oxo-_(1MEOX)_(2TMS)_BP_486148.94_PRED"	806	781	673	828	869	8	913	1054	1290	626	1024	372	1486	638	1373	845	352	681	763	935	416	810
Glyceraldehyde-3-phosphate_(1MEOX)_(3TMS)_BP_571519.81_TRUE	22176	23359	20808	22130	25835	5122	33461	26714	39203	23137	35542	47686	39639	24880	50462	28349	14668	28949	29472	30126	53686	22041
Glyceric_acid-3-phosphate_(4TMS)_606948.88_PRED	1308	418	1073	179	537	318	530	2092	1136	1165	1030	226	1517	1820	1085	692	2248	1139	1133	2620	232	1200
Glycerol ((3TMS)) [MP-1.1]	8363	6096	6122	7404	9293	837	8106	12807	11789	7913	14898	12685	10672	13446	9648	9272	12683	8819	9279	15162	16065	8210
Glycine (2TMS) [MP-2.1]	11953	9770	8030	4967	29071	96	5903	10605	21268	4521	6524	2979	7719	13148	10887	11923	2347	14073	9911	6839	2403	10596
"Glycine,_N-acetyl-_(1TMS)_334790.31_PRED"	15892	16971	14398	15275	18940	1578	19911	21088	23957	12780	17440	35183	26801	17923	27781	19036	11079	13764	12268	21112	38462	14154
"Glycine,_N-cinNaNmoyl-,_trans-_(1TMS)_772530.69_PRED"	NaN	940	676	996	889	187	774	1849	1856	NaN	1317	3151	2085	673	1083	1202	245	2041	2331	2316	2431	1618
Glycylglycine_(4TMS)_591933.56_TRUE	501	761	848	500	591	1706	341	1032	680	1701	453	1271	1067	1719	756	899	1898	1021	1374	1151	1224	1214
Guanosine-5-monophosphate_(6TMS)_1065235.12_TRUE	1377	1616	1292	1325	2091	601	1782	1489	2414	1415	1907	2335	2163	1850	4007	1546	1293	1659	2471	2168	3041	1182
Gulose_(1MEOX)_(5TMS)_MP_584150.19_TRUE	254	346	353	296	381	1178	134	344	481	545	233	686	719	756	390	462	654	444	591	583	458	494
