putative Compound	hum_101_3 _hea	hum_102_3 _hea	hum_103_3 _hea	hum_104_3 _hea	hum_105_3 _hea	hum_105_3 _hea	hum_106_3 _hea	hum_120_3 _hea	hum_121_3 _hea	hum_141_3 _hea	hum_153_3 _hea	hum_98_3 _hea	Wt_132_3 _hea	Wt_133_3 _hea	Wt_134_3 _hea	Wt_135_3 _hea	Wt_142_3 _hea	Wt_147_3 _hea	Wt_148_3 _hea	Wt_152_3 _hea	Wt_91_3 _hea	Wt_wt3_3 _hea
Malic_acid_(3TMS)_442513.44_TRUE	3111	6095	4004	4954	8670	636	4285	8239	8860	4130	5010	7541	8153	6347	6635	6575	4299	6935	7120	7639	8832	4120
Maltotriose_(1MEOX)_(11TMS)_MP_1072282.38_TRUE	108	131	130	144	247	2026	241	429	196	184	209	NaN	NaN	178	72	95	270	138	NaN	466	630	512
Mannitol|Sorbitol (6TMS) [MP-1.1]	3610	3903	3724	4005	6580	723	4620	10273	7443	5654	5356	8728	9126	6957	7458	4555	4611	4844	4562	7238	8629	4240
"Mannopyranoside,_1-O-methyl-,_alpha-_(4TMS)_559825.75_TRUE"	4577	3496	3333	3470	NaN	859	4804	6192	5815	6914	5781	NaN	7531	6547	5954	5148	3047	3900	4109	4857	5938	5015
Melezitose_(11TMS)_1053876.5_TRUE	1461	1110	1284	1333	1693	200	1783	2059	2625	1494	1708	2482	2624	1453	3905	1707	826	1028	2228	1959	3045	1194
Melibiose (1MEOX;8TMS) [MP-1.1]	547	593	495	755	540	11	720	1843	3256	971	2847	2750	2535	664	2000	1374	262	1355	1842	2730	2576	1314
Methionine (2TMS) [MP-1.1]	2526	1876	1603	1567	2149	249	3939	3280	3581	4257	2834	4320	3131	2846	3784	2352	2579	2082	2629	2602	5543	2733
"Mevalonic_acid-1,5-lactone_(1TMS)_454636.47_TRUE"	3048	2918	3134	2982	6040	230	3844	9311	10125	6989	5255	5256	6409	12495	4285	7389	4578	4761	3661	5621	5872	6625
myo-Inositol-1-phosphate_(7TMS)_788938.62_PRED	711	511	383	507	694	184	674	764	766	701	1190	2257	1198	1225	842	597	671	959	622	747	2611	769
NicotiaNaNmine_(4TMS)_902113.62_PRED	1154	1136	717	919	1746	133	1892	NaN	1613	1239	2958	1275	2372	1502	2342	1500	1443	1259	1597	2142	2249	1490
NicotiNaNmide (1TMS) [MP-1.1]	7743	14152	10714	8580	19451	3470	12645	16197	22909	7607	15423	30308	16743	12538	20253	14403	11061	13749	17508	22962	36323	7250
NicotiNaNmide (2TMS) [MP-2.1]	685	1274	828	900	1014	154	1060	1998	853	514	1836	454	1114	717	684	1109	657	1610	864	925	343	762
"NoNaNn-1-ol,_n-_(1TMS)_336924.19_PRED"	76100	80270	68824	71894	90336	7403	94490	99140	113154	63775	83247	166145	132557	87721	132462	93571	52163	65964	59999	98886	177967	66974
NoNaNnoate ((1TMS)) [MP-1.1]	846	723	2067	869	1490	66	1370	4166	1877	NaN	2742	383	3495	2589	2194	2730	2282	NaN	2670	2805	341	2200
Norleucine_(2TMS)_337195.69_TRUE	323485	358825	296855	305542	406545	30793	405061	396922	507605	264989	356938	738044	549994	370445	587761	430962	216177	273112	260021	423090	815050	287265
"Octadecadienoic_acid,_9,12-(Z,Z)-_(1TMS)_775215.19_PRED"	14042	9902	9472	12148	38469	2159	14002	32266	19148	16035	16699	27156	31394	20532	18627	12292	16391	16067	16816	18396	18903	11212
Ornithine (4TMS) [MP-1.1]	1274	1061	1223	892	906	1548	2399	1371	1225	2218	1792	3010	1457	1291	2854	1071	1704	1050	1333	1482	3698	1393
Ornithine_(3TMS)_(Derivate_not_found)_492548.84_PRED	4961	5393	3651	4837	4572	12	6423	6902	7788	4015	6263	NaN	9014	4690	8739	5823	2066	4297	5079	6292	NaN	4889
Ornithine_(3TMS)_587245.62_PRED	1287	1958	1967	1235	1456	3164	791	2263	1740	3757	967	3212	2459	3911	1718	2136	4612	2424	3303	2749	2990	2841
Orthophosphate	1013909	1140118	921530	903995	1282844	87162	1243375	1068302	1700500	742105	1117684	2407645	1589676	1049996	1948506	1424781	614549	802300	822922	1291528	2664813	895124
Oxalic_acid_(2TMS)_236929.91_PRED	73672	55644	27226	38275	25366	325	80986	61769	47805	60530	98248	6952	46309	25037	53087	43040	27100	61147	39711	27212	5849	46575
"Pantothenic_acid,_D-_(3TMS)_680979.56_PRED"	1000	675	679	644	1106	11	1128	1124	1288	654	1108	1402	1195	851	1426	790	415	798	679	974	1831	886
"Pentadecane,_n-_462471.41_PRED"	945	849	932	911	1541	68	1228	2522	2796	1849	1542	1433	1828	3350	1302	1877	1188	1270	906	1454	1536	1744
Phenethylamine_(2TMS)_490740.62_TRUE	101695	107880	73370	102751	101776	108	135187	144231	159397	75468	129741	27741	183860	96931	176730	119358	40635	89239	103323	131844	26790	101730
Phenylalanine (2TMS) [MP-1.1]	2573	1952	2092	2009	2582	507	4084	2534	3193	2874	3039	4581	3236	2644	3868	2423	2090	2228	2329	2222	5591	2380
Phenylalanine_(1TMS)_492082.22_PRED	10114	11051	7676	10484	10202	18	13412	14586	16519	7763	13176	2105	18784	10138	18551	12598	4321	9360	10663	13662	2169	10653
Phosphoenolpyruvic_acid_(3TMS)_528164.19_TRUE	1038	252	640	210	381	171	257	1185	338	1695	537	149	458	1000	474	164	3128	690	769	1181	177	477
Phosphoric_acid_monomethyl_ester_(2TMS)_258939.19_PRED	8567	4534	3428	6185	21053	1014	7190	16054	29808	23196	12503	2195	19027	14729	23073	8384	7026	8866	5814	12414	1307	5806
Proline [MP-1.1]	8406	5159	6094	4498	7256	1358	12351	6935	11570	10829	7472	11371	9636	10511	11628	6180	7067	5571	6606	7035	17209	9892
"Proline, trans-4-Hydroxy- (3TMS) [MP-1.1]"	1642	1585	1355	1255	2718	128	2253	2744	3556	2072	2053	3538	4326	2820	2701	2130	1517	1383	1813	2339	3234	2412
Proline_(2TMS)_340374.03_PRED	27953	16391	21135	19183	23544	2723	30723	28961	31951	26392	28558	52353	25925	26682	30298	17661	30013	17587	25946	27567	57377	16646
"Pyridine, 2-Hydroxy- (1TMS) [MP-1.1]"	1623	1235	1627	1991	4430	365	2262	6085	4865	3528	1434	1459	6618	4608	4428	2014	3088	1001	2187	4106	NaN	979
"Pyridine,_3-hydroxy-_(1TMS)_283546.44_PRED"	460	384	450	506	791	93	582	1928	823	938	320	717	1758	1248	1028	433	811	247	596	1069	1506	282
Pyroglutamic_acid_(2TMS)_507313.84_TRUE	25078	28578	21599	23680	33882	1485	34787	34206	46448	28236	41314	56899	43934	32775	54530	32494	20570	32343	36452	37054	51030	30999
Pyrophosphate [MP-1.1]	3076	1562	1238	1344	1622	1622	2525	3892	4380	9520	3375	1670	5579	7538	3715	3392	2447	2281	3505	2324	1681	5378
Pyruvate (1MEOX;1TMS) [MP-1.1]	797	1583	1407	1250	1976	198	2152	2169	1368	2960	1835	7670	1517	1993	1806	1491	1669	1880	2303	1889	11259	1679
Pyruvic_acid_(2TMS)_209817.64_TRUE	3938	2858	2878	3244	3705	520	4313	5397	6274	4295	6223	5740	6921	5784	6206	5267	2986	4135	4177	5453	6612	5592
"Quinic_acid,_5-caffeoyl-,_trans-_(6TMS)_1052532.75_TRUE"	956	604	711	758	1038	115	1117	1304	1522	976	1142	1510	1535	908	2438	973	546	699	1377	1188	1881	813
Rhamnose (1MEOX;4TMS) [MP-1.1]	1091	1097	672	878	1458	17	1495	1386	1926	197	1013	320	1554	986	2335	1100	253	990	948	1572	177	184
Rhamnose_(1MEOX)_(4TMS)_BP_570616.31_PRED	3481	3679	3274	3608	4367	855	5483	4191	6529	3823	5772	7375	6678	4209	7889	4533	2674	4536	4842	4918	8606	3588
Rhamnose_(1MEOX)_(4TMS)_MP_517543.41_PRED	1077	1133	730	908	1522	6	1391	1474	NaN	591	886	55	1598	1225	2356	1170	182	1214	1016	1733	283	462
Riboflavin (brk) [BD;1.1]	2817	1505	1370	1776	1693	259	2257	3238	3427	2631	5240	6365	4347	2905	4544	3764	1685	2108	2387	3249	4170	3150
"Ribonic_acid-1,4-lactone_(3TMS)_550463.56_TRUE"	52754	50073	45629	49397	62084	1686	65941	51119	85137	50731	55372	81801	75480	56690	89139	59818	27025	44801	43733	63966	83830	42549
Ribose_(1MEOX)_(4TMS)_BP_501489.22_TRUE	955	492	689	NaN	999	20	1636	1258	1468	1198	943	2438	1760	1077	1322	934	558	671	1273	1022	1734	462
Ribose_(1MEOX)_(4TMS)_MP_503578.66_TRUE	8331	9646	6796	7820	10106	498	11685	10593	14982	9409	13428	12113	14347	10853	17176	10608	6724	10997	11732	12677	14324	10475
Serine (3TMS) [MP-1.1]	10673	7658	6530	5930	9713	1326	12563	10946	15584	10090	6116	18686	12961	8143	13382	7429	6406	7063	7317	8478	20155	10448
"Serine,_N-acetyl-_(2TMS)_491357.06_PRED"	26637	28933	19318	26966	27005	31	35508	38101	43831	19675	34976	5171	49463	25557	48672	32767	10473	22791	27609	35510	5044	26913
"Serine,_O-acetyl-_(2TMS)_410213.62_TRUE"	1387	1333	1358	1709	2777	579	1881	8010	3888	5018	73	276	7617	5165	5613	1365	3788	92	2307	4939	5897	51
Serine_(2TMS)_328955.09_PRED	11973	13177	10733	11550	14818	1172	14873	15155	18705	9706	13548	27513	19741	14043	21645	15220	8406	10375	9370	15838	29327	10570
Serine_(4TMS)_459464.91_TRUE	419	434	435	424	674	35	535	1474	1510	1002	778	736	1038	1791	619	939	625	649	581	749	784	976
Shikimic_acid_(4TMS)_586124.94_TRUE	6361	9838	9488	6056	7803	NaN	3800	10486	9802	19812	4627	16392	11936	20107	7781	11056	23047	12317	15757	13733	14430	14512
Siloxane_739483_PRED	562	408	505	532	1443	107	582	2135	1280	1063	601	1540	1985	1353	1514	731	788	588	842	1324	1440	638
similar_to_Asparagine_Derivate_505075.09_PRED	7034	7823	6052	6495	8582	403	9612	9167	12433	7842	11536	6794	12665	8996	14890	9101	5617	9222	10373	10532	10028	9188
similar_to_Diethanolamine_(2TMS)_335362.44_PRED	1312	1408	996	1110	1456	110	1513	1654	1698	1007	1313	2743	1862	1294	1945	1438	778	890	846	1362	2857	1025
similar_to_Lumichrome_(2MeOX)_367169.75_PRED	538	410	406	402	335	123	586	591	640	1123	1097	5773	1598	520	870	421	904	256	239	443	1771	449
"Sorbitol, U13C-"	23535	22678	24102	24437	46255	2626	27559	63786	49465	37557	31014	55414	60193	42695	48269	28214	29044	31987	27992	44877	48661	26863
SucciNaNte (2TMS) [MP-1.1]	16683	9499	8422	11816	9762	1159	13597	19843	22538	15021	32756	19131	25158	16557	27509	24131	7042	14084	15583	19373	22441	19954
Succinic_acid_(2TMS)_365265.25_TRUE	149795	82886	75346	102164	91172	10448	119508	178608	202666	128088	292119	165678	227875	147491	252085	215800	64444	121584	138602	177262	196460	177737
"Tetradecan-1-ol,_n-_(1TMS)_592555.94_PRED"	33262	50298	49132	30811	39170	66948	20356	58931	48614	101387	25247	81776	63115	103090	40137	58258	116778	63717	81126	72264	76757	74782
Tetradecanoic_acid_methyl_ester_(FAME_MIX)_489255.38_PRED	85426	92253	63746	88708	93050	110	114496	126703	140618	67409	110595	17875	158539	82977	157946	104830	35193	77668	89197	115270	16224	86916
"Tetradecenoic_acid_methyl_ester,_9-(Z)-,_n-_572839.69_PRED"	1649	1643	1487	1569	1905	374	2457	1983	3093	1610	2411	3473	2736	1809	3562	2019	1112	1895	2140	2224	3721	1526
ThreoNaNte (4TMS) [MP-1.1]	3553	3081	3022	2441	4171	241	3603	6451	6058	5717	4448	4049	NaN	9075	3525	4623	3701	3945	3141	4177	NaN	4843
Threonic_acid_(4TMS)_458765.47_TRUE	1823	1614	1509	989	1541	123	1720	2293	1844	2891	1971	1418	1787	3495	1629	1346	1770	1739	1399	1749	1884	1809
Threonine (3TMS) [MP-1.1]	7140	6574	5515	6161	7916	817	9046	9110	11584	7421	7647	14289	9948	8024	12078	7655	6024	6095	6219	7894	16220	7517
"Threonine,_O-methyl-,_L-_(2TMS)_334293.72_PRED"	766	893	589	738	1111	62	1108	892	1244	664	908	1762	1407	884	1318	1084	483	594	621	1004	1985	655
Triacontanoic_acid_methyl_ester_(FAME_MIX)_1116102.38_PRED	7243	5078	6058	7542	11958	907	8431	18749	10841	9608	6827	10457	15469	10826	19379	6282	6544	7119	10959	10380	12047	5370
"Tridecan-1-ol,_n-_(1TMS)_547762.06_PRED"	32074	27720	29826	37024	57504	1905	40542	58239	52698	47566	34717	57600	77109	53013	55325	31614	27862	37531	28180	46906	52543	28354
"Tridecane,_n-_342778.75_PRED"	71191	42530	54487	50288	67124	7470	81582	78874	86826	67727	71429	131323	70664	71600	79783	46953	75891	48518	66535	75030	144271	42802
Tridecanoic_acid_586610.62_PRED	29240	44461	41761	26917	32236	59719	17614	49721	39665	87371	20826	69582	54475	90532	34046	49180	100864	54787	69864	61450	66230	66022
Triethanolamine_(3TMS)_493189.91_PRED	12184	13165	9028	12297	12143	17	16063	18283	19362	9159	15568	2421	22082	11337	22295	14911	4913	10851	12497	16505	2079	12699
Tropine_(1TMS)_336960.03_PRED	20161	22295	18752	19319	23686	1936	26109	24314	31161	16338	22340	45938	34797	22839	36140	26778	13250	17351	16174	26853	50178	18171
Tropinone_(1MEOX)_343648.91_PRED	25075	14655	18442	16350	21060	2481	27786	26172	28347	22868	24420	45283	23068	24035	26784	15837	25783	16352	22988	24673	49344	14466
Tryptophan (3TMS) [MP-1.1]	1421	1092	935	1329	1084	236	1932	1894	796	1282	2276	405	1101	881	1032	1019	1744	1900	743	918	357	1303
Turanose_(1MEOX)_(8TMS)_BP_876686.69_PRED	448	563	472	407	957	55	783	1017	1107	709	417	1113	944	754	1091	693	490	491	708	1224	1412	497
Tyrosine (3TMS) [MP-1.1]	3691	2287	2274	2584	2926	695	5528	4203	4076	5120	4243	4597	3555	3304	4685	3036	3361	2784	2401	2585	4335	3451
Uracil (2TMS) [MP-1.1]	1004	858	784	605	1370	105	1238	1544	1106	656	1710	2009	1444	938	1682	695	751	1417	908	1186	1527	1186
Urea (2TMS) [MP-1.1]	130016	79007	95833	89857	106165	13308	148698	131601	147141	119549	137715	247639	118979	123184	144940	85069	136797	84328	120416	132422	272214	79440
"Valeric_acid,_3-hydroxy-3-methyl-_(1TMS)_235895.11_PRED"	7601	5733	2964	3983	2816	42	8153	6174	4815	6091	9839	583	5022	2558	5110	4394	2891	6212	3969	2879	NaN	4924
Valine (2TMS) [MP-1.1]	7564	5000	4947	4778	7896	2194	9029	8296	9836	7985	9965	12674	7332	9070	9213	7286	6943	7380	7506	8276	14702	6924
Xylitol (5TMS) [MP-1.1]	537	731	373	485	1006	570	851	752	935	671	1321	1093	738	507	967	767	688	792	825	1610	1582	522
Xylose (1MEOX;4TMS) [MP-1.2]	1236	1508	1003	1209	1360	52	1758	1916	2891	1617	1427	769	2618	1899	3570	1273	997	1379	1553	2607	1454	1231
Xylulose_(1MEOX)_(4TMS)_MP_509094.19_TRUE	8730	10299	7488	8252	10837	491	12022	11114	15590	8669	13891	16057	15200	11146	19142	10870	6341	10756	12167	13350	14862	10276
