putative Compound	hum_101_8 _tes	hum_102_8 _tes	hum_103_8 _tes	hum_104_8 _tes	hum_105_8 _tes	hum_106_8 _tes	hum_120_8 _tes	hum_121_8 _tes	hum_141_8 _tes	hum_153_8 _tes	hum_98_8 _tes	Wt_132_8 _tes	Wt_133_8 _tes	Wt_134_8 _tes	Wt_135_8 _tes	Wt_142_8 _tes	Wt_147_8 _tes	Wt_148_8 _tes	Wt_152_8 _tes	Wt_91_8 _tes	Wt_wt8_8 _tes
"Sorbitol, U13C-"	24295	22248	24574	26649	23635	26311	25539	24872	42809	26051	25541	27010	27038	21444	23667	23477	22574	17844	31537	19122	22639
SucciNaNte (2TMS) [MP-1.1]	3838	2759	2576	2569	2194	2445	3801	2821	2741	3245	2174	2988	2763	2824	2633	2425	2663	2461	3080	2089	2728
Succinic_acid_(2TMS)_365265.25_TRUE	33573	24721	23685	22695	19603	22771	34219	25033	24362	29244	19879	27868	25128	25388	24328	23097	23825	21458	25778	18527	22646
Tetradecanoic_acid_methyl_ester_(FAME_MIX)_489255.38_PRED	13634	196645	189963	231132	263489	215882	3650	226417	213405	204678	235360	219014	235215	212372	184445	207631	222043	257482	210519	245089	244001
"Tetradecenoic_acid_methyl_ester,_9-(Z)-,_n-_572839.69_PRED"	1428	1240	1608	1890	1289	1659	2649	1513	1367	1416	1057	1794	1482	1600	1735	1618	1407	1286	1275	1937	1585
Threonine (3TMS) [MP-1.1]	4399	5969	5813	5718	5017	6028	9666	5754	5662	6608	5304	5880	5709	6748	5493	6798	6225	5801	6051	5662	5671
"Threonine,_O-methyl-,_L-_(2TMS)_334293.72_PRED"	1333	603	539	529	480	400	569	418	462	473	505	463	387	577	502	612	547	499	424	656	506
"Tridecan-1-ol,_n-_(1TMS)_547762.06_PRED"	609	1500	1731	1884	2457	1601	29642	2675	1412	1554	2451	1357	2373	1572	1881	1874	2608	2989	2097	2249	1420
"Tridecane,_n-_342778.75_PRED"	106355	49023	57812	63708	38149	56667	62380	44750	38357	60551	53762	62082	37396	NaN	42655	59642	47355	46388	46317	49417	31082
Triethanolamine_(3TMS)_493189.91_PRED	1909	30397	26736	35282	41101	32202	535	34998	30529	31750	35835	33037	35444	35691	26959	32558	34629	43170	31389	40370	38266
Tropine_(1TMS)_336960.03_PRED	34062	14665	14184	13647	14057	12059	15792	13024	12116	13513	14233	13403	11283	13923	12850	16341	15820	14005	12697	15655	13024
Tropinone_(1MEOX)_343648.91_PRED	38361	16186	18707	20868	12893	18983	20533	14837	11949	20649	17081	20605	12520	NaN	13983	20110	16042	16074	15240	16524	10367
Tryptophan (3TMS) [MP-1.1]	78	1395	1254	1424	1376	1063	2830	1419	1329	1622	1078	1435	1299	1382	1458	1516	1760	1499	1841	1236	1138
Tyrosine (3TMS) [MP-1.1]	1450	3874	3696	3816	3909	4304	7979	4427	5012	4333	3821	4470	4159	9056	3894	5170	4255	3999	4414	3951	4294
Undecanoic_acid_(1TMS)_480425.62_TRUE	1539	2160	3048	2540	2891	2716	1963	1554	1599	1962	1985	2507	1618	2042	1208	2979	1648	1641	1426	2647	1940
Uracil (2TMS) [MP-1.1]	2269	906	732	798	1062	732	1660	983	1087	1037	1066	964	741	6460	98280	1009	1397	1200	1290	891	1073
Urea (2TMS) [MP-1.1]	218834	85021	93635	108495	70494	102618	112792	80009	65645	112535	95980	112963	65911	NaN	72008	107270	86587	87661	82673	90914	55561
Uridine_(4TMS)_863220.75_TRUE	106	1188	879	734	813	868	1222	1054	862	1312	1139	1202	920	1218	949	1368	1162	972	1282	1140	823
Uridine_5'-monophosphate_(5TMS)_995880.69_TRUE	457	5895	5715	4680	2959	4262	3135	4533	3462	4645	3435	7069	3808	5611	5398	6115	2686	2986	2790	4756	2422
"Valeric_acid,_3-hydroxy-3-methyl-_(1TMS)_235895.11_PRED"	548	6704	4500	5007	6319	6607	3313	6390	8384	7380	4908	5314	4997	2447	3638	6203	10198	10934	7353	4280	8362
Valine (2TMS) [MP-1.1]	1511	6383	6591	5556	5173	7182	15559	5791	5861	7899	5767	6198	5789	9881	6365	7022	7194	6247	7005	5893	6023
Valine_(2TMS)_272492.56_PRED	1425	6383	6591	5556	5173	7182	15559	5791	5861	7899	5767	6198	5789	9881	6365	7022	7194	6247	7005	5893	6023
Viburnitol_(5TMS)_635711.5_PRED	699	383	541	436	455	479	1240	491	416	532	478	451	439	466	470	401	551	565	475	399	496
Xylulose_(1MEOX)_(4TMS)_MP_509094.19_TRUE	NaN	14139	12014	11417	13546	13636	15857	12944	11556	13689	11929	13155	11714	15315	11329	13214	13329	13237	12286	13062	13858
Xylulose-5-phosphate_(1MEOX)_(5TMS)_MP_733445.94_PRED	1014	843	764	865	797	844	292	835	867	876	819	933	765	831	788	826	785	722	750	829	880
