putative Compound	hum_101_8 _tes	hum_102_8 _tes	hum_103_8 _tes	hum_104_8 _tes	hum_105_8 _tes	hum_106_8 _tes	hum_120_8 _tes	hum_121_8 _tes	hum_141_8 _tes	hum_153_8 _tes	hum_98_8 _tes	Wt_132_8 _tes	Wt_133_8 _tes	Wt_134_8 _tes	Wt_135_8 _tes	Wt_142_8 _tes	Wt_147_8 _tes	Wt_148_8 _tes	Wt_152_8 _tes	Wt_91_8 _tes	Wt_wt8_8 _tes
Glyceraldehyde-3-phosphate_(1MEOX)_(3TMS)_BP_571519.81_TRUE	20133	17170	19827	27568	16973	22028	34145	20095	18611	19164	17708	26429	21060	22733	23771	23057	20644	18025	18003	28074	20745
Glycerate	345	448	404	791	424	527	877	449	556	481	542	684	414	418	460	427	678	536	526	647	499
Glycerol ((3TMS)) [MP-1.1]	75487	157737	160521	153566	145498	137185	14297	160636	139792	146322	148590	143435	151974	182275	154956	133231	140493	145777	153605	134342	133720
Glycerol-2-phosphate_(4TMS)_556161.06_TRUE	1428	492	699	975	669	541	459	538	705	598	780	767	511	576	685	754	835	786	821	795	890
Glycine (2TMS) [MP-2.1]	NaN	105721	130729	130044	60916	82008	59998	82076	84000	83452	87128	152847	112173	133782	101498	149704	113703	82874	53518	56124	92304
"Glycine,_N-acetyl-_(1TMS)_334790.31_PRED"	24913	11479	11565	10549	11304	9779	12418	10498	10011	10950	11273	10966	9159	10733	10155	12289	12494	10657	10806	12107	10867
"Glycine,_N-cinNaNmoyl-,_trans-_(2TMS)_737734.19_PRED"	1263	956	1036	987	959	1151	406	1045	1177	1025	1003	1160	1081	1046	1089	1031	930	870	1030	1004	1022
Glycylglycine_(3TMS)_628479.25_TRUE	1526	3883	3726	4047	3864	3727	5635	3518	3436	3551	3521	4802	3789	3607	3325	4124	2851	3013	3699	3533	3265
Guanosine_(5TMS)_960132.88_TRUE	1390	367	NaN	365	460	448	417	379	500	547	734	432	309	433	356	718	632	486	358	679	452
Guanosine-5-monophosphate_(6TMS)_1065235.12_TRUE	618	3029	4205	3234	2610	2640	3110	3994	2414	2829	2190	4832	2448	2643	2887	2866	2399	2093	2684	2495	1967
"Gulonic_acid-1,4-lactone_(4TMS)_640871.56_PRED"	NaN	3011	5064	4092	377	816	863	1216	1604	1333	1050	9436	3053	16472	3108	9303	4385	1294	436	370	1825
"Heptacosanoic_acid,_n-_(1TMS)_1053682.38_PRED"	1499	3849	5816	5198	3477	4236	4057	6357	3973	3942	3296	6970	4167	4408	4223	4072	3059	2754	3533	3114	3030
"Heptanoic_acid,_n-_(1TMS)_255612.95_PRED"	1257	89170	56836	22410	26989	74355	33518	62440	78263	55569	42983	32821	64546	22123	63449	18592	27559	21428	96992	16783	89241
"Hexacosane,_n-_908082.69_PRED"	3676	1705	1278	817	1141	916	719	939	846	1582	1650	1046	617	1223	1030	1850	1841	1425	1215	2007	880
"Hexadecane,_n-_486353.06_PRED"	2618	35337	33488	43283	48219	38865	718	40773	37013	36713	42375	38791	41355	36799	32793	37176	41242	47561	38670	44625	44997
Hexadecanoate (1TMS) [MP-1.1]	46431	13645	17250	19024	16800	16912	16142	13362	21840	13227	17859	17472	15357	10008	26013	15476	14727	16387	20313	14124	16056
"Hexadecenoic_acid_methyl_ester,_9-(Z)-,_n-_652277.12_PRED"	9323	5792	5920	5648	5482	6202	4357	6708	5958	6763	6095	5668	6894	6183	5765	6173	6414	6675	5661	6783	5875
"Hexanoic_acid,_2-ethyl-_(1TMS)_254181.88_PRED"	2584	264553	115897	45051	54600	161582	68109	138412	161091	117319	88106	66292	138725	46459	140486	36952	55007	43485	215154	34125	214892
Histamine_(3TMS)_653726.19_TRUE	2000	1310	1321	1294	1189	1403	1020	1490	1250	1502	1393	1250	1296	1328	1287	1244	1387	1419	1344	1542	1177
Histidine (3TMS) [MP-1.1]	50	1827	1280	2350	1588	1607	1010	1356	1374	1373	1804	2098	1448	2357	1456	2087	1991	1551	1686	1977	1722
Homocysteine_(2TMS)_506276.72_PRED	565	1635	1664	1839	1630	1797	2501	1670	1414	1669	1470	1704	1585	1971	1482	1713	1678	1705	1633	1639	1785
Homoserine_(2TMS)_380616.94_PRED	66	6688	17595	22097	27391	10104	8562	14649	27307	16928	2680	21831	12478	13672	20391	27774	49538	20517	30494	2455	20593
Homoserine_lactone_(2TMS)_458933.88_PRED	2356	3402	3486	3445	3169	3336	22130	3127	3158	3214	3365	3692	3412	5668	3136	4198	4224	3145	3203	3181	2967
Hypotaurine_(3TMS)_509415.53_TRUE	18973	77148	73003	73543	70836	77878	75582	74202	50042	74992	65016	73428	78240	82003	71348	72427	71004	70471	69234	70178	75163
Hypoxanthine_(2TMS)_659841.12_TRUE	765	2480	1447	989	1761	1191	3939	1602	1454	2701	1761	1932	983	1858	1847	2451	3413	2746	2511	2168	926
Indole-3-acetaldehyde_(1MEOX)_(1TMS)_BP_657093_PRED	992	577	584	656	565	615	483	638	500	605	520	567	695	675	600	606	648	643	696	719	571
"Indole-3-acetic_acid,_1H-_(1TMS)_668169.31_PRED"	1547	1096	1538	1200	1292	1211	1195	1115	1893	1053	1481	1209	1362	663	1139	976	1285	923	1588	956	1394
"Indole-3-butanoic_acid,_1H-_(1TMS)_755498.5_PRED"	255	883	1129	1017	997	902	652	1071	1003	940	1077	1109	998	878	1013	1073	1045	806	1089	793	838
Inosine_(4TMS)_904803.88_TRUE	37511	16848	11553	7957	11028	7553	6513	8017	7764	14191	16089	9295	5685	11649	8873	19209	17874	13423	11588	20003	8294
"Isocaproic_acid,_2-oxo-_(1MEOX)_(1TMS)_BP_289992.41_PRED"	12129	24483	24544	23464	22731	21960	2147	24489	21878	22838	23706	22115	23443	26875	24302	21245	22001	22296	24160	20577	20767
Isocitric_acid_(4TMS)_597989.19_TRUE	285	3572	2533	2793	2088	1856	1928	2872	2785	2907	2425	2575	2552	2793	2879	3030	2908	3096	3094	2822	2209
Isoleucine (2TMS) [MP-1.1]	1111	2445	2550	2240	2209	2762	6431	2321	2234	3275	2401	2751	2279	3977	2804	2854	3184	2494	2863	2369	2208
Leucine (2TMS) [MP-1.1]	2206	5517	5727	4905	5193	6110	14786	5198	5585	7086	5101	5921	5524	5775	6093	6882	7543	5994	6673	4916	5356
"Leucine,_cyclo-_(2TMS)_377176.62_TRUE"	88	203	536	684	806	418	292	519	864	562	235	645	380	426	565	859	1481	656	1048	107	741
"Levulinic_acid,_5-amino-_(1MEOX)_(3TMS)_BP_591715.44_TRUE"	8495	10244	7320	7290	16793	15262	22841	14318	12898	13743	13162	6544	10961	6998	10195	6307	6779	10305	17290	17794	8755
Lysine (3TMS) [MP-1.1]	526	4437	3545	3650	6004	5953	7323	5681	6118	5832	4610	3153	4962	3000	4813	3108	4261	5864	7001	6138	5263
Lyxose_(1MEOX)_(4TMS)_BP_488187.75_TRUE	352	4107	3865	4972	5717	4179	187	4567	4257	4339	5035	4442	4905	4502	3899	4404	4712	5602	4658	5210	5360
"Mannopyranoside,_1-O-methyl-,_alpha-_(4TMS)_559825.75_TRUE"	1213	1451	1346	1882	1645	1842	3714	2120	1898	1370	1424	1799	2417	1239	1537	1546	1975	1536	1500	1441	1613
Mannose-1-phosphate_(6TMS)_785522.56_PRED	684	387	482	553	764	453	426	604	472	527	545	663	566	541	524	634	774	510	649	510	611
Melezitose_(11TMS)_1053876.5_TRUE	247	657	936	876	620	743	665	1087	819	632	539	1134	742	688	699	687	551	452	626	544	512
Methionine (2TMS) [MP-1.1]	1328	2042	1923	1723	1760	2478	3692	1805	2642	2248	1627	2045	1901	2643	1841	2324	1828	2060	1951	1844	1905
"Mevalonic_acid-1,5-lactone_(1TMS)_454636.47_TRUE"	2165	3192	3057	3035	3187	3259	20718	3024	2933	3067	3189	3453	3055	5398	3067	3767	3762	2992	3168	3101	2891
