putative Compound	hum_101_9 _mus	hum_102_9 _mus	hum_103_9 _mus	hum_104_9 _mus	hum_105_9 _mus	hum_106_9 _mus	hum_120_9 _mus	hum_120_9 _mus	hum_121_9 _mus	hum_141_9 _mus	hum_153_9 _mus	hum_98_9 _mus	Wt_132_9 _mus	Wt_133_9 _mus	Wt_134_9 _mus	Wt_135_9 _mus	Wt_142_9 _mus	Wt_147_9 _mus	Wt_148_9 _mus	Wt_152_9 _mus	Wt_91_9 _mus	Wt_wt9_9 _mus
Homoserine_lactone_(2TMS)_458933.88_PRED	930	791	487	585	638	911	542	21479	685	742	1181	1011	842	560	2482	303	479	726	451	1044	552	449
Hydrocaffeic_acid_(3TMS)_667708.25_TRUE	557	711	782	334	363	638	564	715	396	1183	1145	1364	748	423	1197	307	778	1131	472	765	814	220
"Indole-2-carboxylic_acid,_5-hydroxy-_(3TMS)_776979.44_TRUE"	409	488	370	354	517	1159	654	344	1969	1106	954	850	1110	1175	574	938	843	997	769	1071	483	1509
"Indole-3-acetic_acid,_1H-_(1TMS)_668169.31_PRED"	1326	1332	973	1052	1629	1453	1556	9663	1662	1831	1644	1794	779	1155	1296	626	1226	1946	690	2336	1292	710
Inosine_(4TMS)_904803.88_TRUE	789	566	528	415	497	452	390	41219	287	606	413	1133	384	273	982	248	300	380	486	816	540	339
"Inositol,_allo-_(6TMS)_550276.69_TRUE"	6836	6366	5793	4645	6671	7781	6569	NaN	6799	7451	6752	8152	4232	4658	5653	3210	4721	11191	4250	7424	6532	4614
"Isocaproic_acid,_2-oxo-_(1MEOX)_(1TMS)_BP_289992.41_PRED"	4424	3330	1911	2422	3159	2176	3074	159749	2186	3148	3529	3040	1816	1992	2157	1439	2308	5313	1736	4374	1951	1922
Isocitric_acid_(4TMS)_597989.19_TRUE	6531	5339	4284	5051	5894	5699	3379	14340	4748	5106	3102	6156	3222	3732	4281	2662	2781	4864	4305	5113	5819	3809
Isoleucine (2TMS) [MP-1.1]	21952	3715	3508	2614	3213	5789	2631	16065	3029	4414	4182	5334	2907	2868	3817	2216	3491	5935	2344	4419	4762	2753
"Kestose,_1-_(11TMS)_1034658.38_TRUE"	63573	27299	18208	27779	39526	8549	34623	10252	2120	10674	40379	50282	22576	13220	30921	12495	12525	5963	27769	3802	56561	2418
Leucine (2TMS) [MP-1.1]	66876	5458	5356	4256	4952	9060	3846	32860	4815	7021	5957	8309	3478	4241	5995	3492	4744	9740	3621	6538	7204	4150
"Levulinic_acid,_5-amino-_(1MEOX)_(3TMS)_BP_591715.44_TRUE"	2340	2354	2558	2496	2752	2133	2826	1129	2625	2558	2398	2389	2629	2681	2453	3034	2439	2283	2717	2490	2363	2552
"LinoleNaNte, alpha-"	825	1022	890	1132	1036	2896	1513	316	4798	2565	2144	1845	2287	2920	1325	2115	1983	2349	2026	2451	1163	3820
Lysine (3TMS) [MP-1.1]	59115	31760	26010	17440	48392	65583	25804	47221	27382	50100	36594	100889	31275	37643	14490	22404	44130	28433	22020	35138	27338	54404
"Lyxonic_acid-1,4-lactone_(3TMS)_580326.75_TRUE"	857	851	714	538	759	1049	561	1311	648	837	632	727	630	950	816	747	727	1288	814	1286	544	520
Lyxose_(1MEOX)_(4TMS)_BP_488187.75_TRUE	8790	6423	6429	4138	5343	8284	4631	35307	3254	6974	6319	5679	4610	4859	3882	3816	4663	8155	3726	4079	6852	4328
Malate (3TMS) [MP-1.1]	5559	6362	4408	3985	3669	6679	6647	NaN	3353	5920	16347	3789	6583	4975	13358	2475	4175	10760	6678	4860	4581	4494
Malic_acid_(3TMS)_442513.44_TRUE	1979	2491	1741	1471	1392	2243	2549	2503	1215	2198	6324	1433	2464	1971	5150	908	1542	4049	2463	1788	1794	1739
Maltotriose_(1MEOX)_(11TMS)_MP_1072282.38_TRUE	1093	693	301	185	479	401	639	947	192	915	NaN	833	1039	558	144	100	1244	1532	997	312	423	385
Mannitol_(6TMS)_583180.75_TRUE	483	637	545	421	534	828	491	1269	550	658	523	627	451	714	585	453	522	1034	543	703	482	389
Melibiose (1MEOX;8TMS) [MP-1.1]	3134	3416	3596	3116	2568	5176	3885	NaN	3090	6770	2915	3226	3928	5192	3254	3022	3429	12525	7330	2604	3724	5074
Methionine (2TMS) [MP-1.1]	9667	2472	2226	1917	1779	4932	2138	12454	2382	4958	2997	3389	1909	2135	2608	1415	2601	3307	1583	2961	3415	1982
"Mevalonic_acid-1,5-lactone_(1TMS)_454636.47_TRUE"	971	727	461	612	690	846	609	20967	625	705	1304	940	682	545	2300	279	487	774	442	945	532	423
myo-Inositol-1-phosphate_(7TMS)_788938.62_PRED	614	842	576	580	478	944	370	4670	733	903	862	688	532	726	740	367	594	1034	510	816	628	545
NicotiNaNmide (1TMS) [MP-1.1]	8153	7540	7672	4587	5837	8777	5704	6241	2743	7043	17963	9684	5193	4886	6558	2348	4684	11217	3899	4370	8133	2775
NoNaNdecane_653263.69_PRED	250	595	256	248	407	346	204	35686	343	379	375	560	209	90	358	193	161	394	298	556	336	245
"NoNaNn-1-ol,_n-_(1TMS)_336924.19_PRED"	109307	117188	80908	94173	130824	124884	119456	326692	53965	109597	126441	140489	61648	83778	98106	52878	86192	148526	62383	82132	106913	62266
NoNaNnoate ((1TMS)) [MP-1.1]	3030	2325	1870	2575	3436	4277	2916	10217	3553	3016	2579	2385	1232	1978	2462	1336	2206	2890	1229	3476	2568	1501
Norleucine_(2TMS)_337195.69_TRUE	507559	548974	376029	431788	584782	575187	534861	1385355	224752	465738	603869	655803	287715	380177	459347	242372	389572	675042	276663	350760	507203	285900
"Octadecadienoic_acid,_9,12-(Z,Z)-_(1TMS)_775215.19_PRED"	4800	5657	5049	5521	5635	16291	8660	1564	26423	14841	12399	10592	14252	16626	7539	11630	10331	13601	11169	15086	6324	20227
Octadecanoic_acid_(1TMS)_770496.62_PRED	12410	18635	10997	16462	14176	18974	12880	73230	25117	21491	17358	14204	7125	14366	13924	10104	13715	21880	8984	17989	16760	7357
"Octadecatrienoic_acid,_6,9,12-(Z,Z,Z)-,_n-_(1TMS)_768264.69_PRED"	12410	18635	10997	16462	14176	18974	12880	73230	25117	NaN	17358	14204	7125	14366	13924	10104	13715	21880	8984	17989	16760	7357
"Octadecatrienoic_acid,_9,12,15-(Z,Z,Z)-,_n-_(1TMS)_777952.62_PRED"	825	983	890	1132	1036	2896	1513	316	4798	2565	2144	1845	2287	2920	1325	2115	1983	2349	2026	2451	1163	3820
Ornithine (4TMS) [MP-1.1]	7117	3176	2681	1699	3519	6122	2553	4705	2628	4324	4271	5586	1658	2123	1378	1552	2652	3667	1955	3812	4202	2981
Ornithine_(3TMS)_(Derivate_not_found)_492548.84_PRED	22456	16997	16526	11363	13712	22140	12011	87949	8787	17668	16269	16092	11833	11961	11096	10110	12301	22134	10105	10541	18116	11038
Ornithine_(3TMS)_587245.62_PRED	1489	1554	1590	1664	1682	1333	1741	652	1658	1763	1515	1487	1632	1751	1622	1961	1539	1707	1723	1659	1753	1810
Orthophosphate	2061103	1988904	1679115	1524713	1883290	1943201	1735920	3888760	615956	1429613	2179384	2337064	1229603	1253307	1645205	845878	1273037	2351094	896973	1026674	2299609	959110
Oxalic_acid_(2TMS)_236929.91_PRED	96054	53265	47568	100823	50469	151560	45727	327407	91916	61599	48271	64057	30015	17111	41548	35620	42473	66464	35326	49506	51959	19073
Phenethylamine_(2TMS)_490740.62_TRUE	473737	366324	351018	238012	292993	453119	260774	1895076	185033	379203	356139	321796	247037	257639	223794	210344	260299	470705	211902	219774	374253	235566
Phenylalanine (2TMS) [MP-1.1]	17041	2918	3130	2822	2778	5426	2351	20273	2629	4118	2791	3747	2151	2596	3229	1951	2686	4273	1529	2900	3664	2441
Phenylalanine_(1TMS)_492082.22_PRED	47491	37140	34765	23996	30826	45210	26770	198050	19004	38658	35802	32688	24780	25774	22818	20983	25856	47386	21417	22747	38023	23841
Phenylpyruvic_acid_(1MEOX)_(1TMS)_MP_557986.81_TRUE	715	663	664	504	497	1165	531	NaN	1231	1010	612	699	595	587	382	336	509	1324	419	1153	594	639
Proline [MP-1.1]	36882	24294	24997	21484	26214	56724	22804	142183	27168	38059	30888	52066	22562	29393	18152	15509	24999	44723	16415	42962	30330	22205
"Proline, trans-4-Hydroxy- (3TMS) [MP-1.1]"	11426	9755	9901	7454	11268	15395	8891	11858	14160	16653	9792	18102	10085	13160	7166	7777	10783	17967	6579	17249	9340	11999
"Proline,_4-hydroxy-,_trans-_(2TMS)_446416.97_PRED"	1540	1390	1238	1092	1782	1999	1273	NaN	1999	2367	1463	2383	1369	1765	920	1068	1491	2697	895	2500	1309	1616
Proline_(2TMS)_340374.03_PRED	NaN	27306	NaN	19264	22279	33706	22826	105452	17016	36894	35958	38110	15562	16791	25350	9362	25431	44138	18343	33063	29554	17143
Proline_[+CO2]_(2TMS)_534232.75_TRUE	1149	1098	936	785	207	1186	145	1304	111	1147	525	1018	693	649	854	480	157	1499	486	199	996	668
"Propane-1,2-diol,_3-amino_(4TMS)_437787.28_TRUE"	915	845	629	605	1198	798	815	11171	1171	1052	724	1797	656	837	213	484	632	1538	526	1678	742	435
"Propane-1,3-diol,_2-amino-2-methyl-_(3TMS)_305353.78_TRUE"	16732	1518	1516	1057	1336	2350	1045	8948	1273	1958	1581	2296	953	1155	1781	825	1383	2480	902	1610	2045	1090
"Propanoic_acid,_2-amino-2-methyl-3-hydroxy-_(2TMS)_295176.81_TRUE"	652	610	390	386	638	264	543	20630	389	673	596	712	355	283	359	294	425	889	296	913	541	312
"Purine,_6-benzylamino-_(2TMS)_914562_TRUE"	384	458	476	368	260	630	504	266	302	706	438	361	516	633	413	327	439	1442	820	334	391	558
Putrescine_(4TMS)_519185.38_PRED	774	677	1169	4821	1386	3388	848	3085	1048	796	788	827	401	417	6100	589	744	1122	296	1245	1687	385
"Pyridine, 2-Hydroxy- (1TMS) [MP-1.1]"	1922	3182	2740	1020	2288	1686	2300	22117	2126	4088	4101	4292	2028	1573	2914	776	2503	5332	1965	4713	2948	1841
"Pyridine, 4-Hydroxy- (1TMS) [MP-1.1]"	3319	2741	1651	2066	2720	1980	2377	108860	1942	2690	3067	2614	1378	1805	1748	1179	2002	4012	1446	3968	1757	1450
"Pyridine,_3-hydroxy-_(1TMS)_283546.44_PRED"	396	794	564	194	515	346	542	2917	359	868	801	844	439	237	575	145	563	1034	394	1177	615	392
Pyroglutamate (2TMS) [MP-1.1]	7700	4956	5378	3774	4625	5505	4073	294232	4101	6547	10078	5232	5844	2808	8690	2044	4070	6129	4117	4973	5258	3235
Pyroglutamic_acid_(2TMS)_507313.84_TRUE	61442	43882	38442	33698	36917	40883	27849	634639	33466	46166	45869	53127	33464	29813	42798	20536	27076	58458	35179	41295	44450	26384
Pyrophosphate [MP-1.1]	18103	21514	21955	13258	12012	39861	14641	12945	40544	31230	17083	23912	16114	15405	8673	9757	14912	52958	12131	40029	13048	19464
Pyruvate (1MEOX;1TMS) [MP-1.1]	2435	2774	2270	2241	2301	3490	1745	1865	3260	3836	2038	3715	1483	1075	1323	1023	1320	4367	1020	2459	2443	1822
Pyruvic_acid_(2TMS)_209817.64_TRUE	5900	5055	5227	3937	5334	7107	5154	15715	5581	6833	7524	8255	4650	5475	4827	3188	5056	10012	3258	9202	5743	5173
Raffinose_(11TMS)_1033496.5_PRED	3731	1656	1092	1582	2294	500	2083	905	188	664	2260	2924	1349	759	1712	737	751	429	1588	342	3237	172
Rhamnose (1MEOX;4TMS) [MP-1.1]	948	839	3334	458	3341	4267	782	16731	430	3019	3678	3899	2257	2337	1674	1750	2033	4577	1987	3039	3927	2203
Rhamnose_(1MEOX)_(4TMS)_BP_570616.31_PRED	4298	3251	2568	2275	2628	2549	2556	18891	3780	3462	3404	1828	2394	2120	3695	1357	2671	5072	4300	3101	2770	3890
Rhamnose_(1MEOX)_(4TMS)_MP_517543.41_PRED	1185	1164	4082	4031	4003	6583	1224	17314	1061	3106	3888	4015	2334	2373	5418	2006	2460	5053	1997	3675	4750	2432
Riboflavin (brk) [BD;1.1]	897	819	606	239	645	576	759	5014	1590	1132	1992	830	1072	1245	1300	400	852	1402	1199	1819	453	1111
"Ribonic_acid-1,4-lactone_(3TMS)_550463.56_TRUE"	55603	50192	47221	38216	51582	63524	51014	8204	51524	56614	55362	64565	35617	36735	46659	25078	36745	90136	34233	58363	52615	38845
Ribose-5-phosphate_(1_MEOX)_(5TMS)_BP_707635.88_TRUE	608	708	438	331	545	816	414	968	707	831	345	661	453	401	569	307	554	1278	383	671	525	600
Sarcosine_(2TMS)_233204.59_TRUE	1280	1502	1163	1243	1514	1113	943	3646	1454	1451	1274	1768	840	875	835	807	950	2321	466	2740	1584	1412
Serine (3TMS) [MP-1.1]	21117	14040	13157	13476	15393	17526	12095	61372	14947	17052	8605	26263	12329	12847	13891	8613	12010	16786	10049	17030	15983	9559
"Serine,_N-acetyl-_(2TMS)_491357.06_PRED"	146476	105795	108073	68423	83771	136616	72333	555049	50601	107386	102994	91372	74469	73972	65144	64209	73774	136836	62817	61444	115433	72506
"Serine,_O-acetyl-_(2TMS)_410213.62_TRUE"	1751	3786	2511	103	1909	134	2020	8310	144	5138	4569	5077	2062	135	1562	NaN	2939	5539	2028	5990	3237	1311
Serine_(2TMS)_328955.09_PRED	17398	19343	13569	15639	21546	20504	19660	50678	8069	17704	21076	23758	10172	13720	16108	8827	14052	24741	10124	13254	17577	10360
Siloxane_596806.25_PRED	767	737	572	660	NaN	788	552	1508	638	709	547	709	521	553	632	455	513	633	625	640	678	555
Siloxane_739483_PRED	515	919	819	424	584	591	621	3303	1035	1078	785	1063	459	1023	771	296	773	1394	426	1384	898	251
similar_to_Asparagine_Derivate_505075.09_PRED	1453	800	983	821	957	994	825	64002	869	1253	1943	1030	1105	558	2040	440	730	1096	735	892	1059	580
similar_to_Diethanolamine_(2TMS)_335362.44_PRED	1982	1968	1364	1555	2093	2260	1860	5091	848	1627	2260	2543	1118	1372	1621	923	1368	2513	1063	1091	1909	1057
similar_to_Fructose_Derivate_604774.88_PRED	905	487	778	523	493	1812	827	505	1352	1931	426	495	636	806	690	445	963	2301	504	837	779	789
similar_to_Fructose_Derivate_608269.19_PRED	905	487	778	523	493	1812	827	351	1352	1931	426	495	636	806	690	445	963	2301	504	837	779	789
"Sorbitol, U13C-"	29374	28420	23681	22247	32677	31065	32595	148010	31456	37681	39478	37616	18010	24849	29030	13247	23614	48455	17640	46733	30667	17789
SucciNaNte (2TMS) [MP-1.1]	3197	3339	2618	1265	2160	2270	3541	20097	2862	3621	11465	1445	4852	3297	9122	2033	4722	5922	6971	6560	2744	4842
Succinic_acid_(2TMS)_365265.25_TRUE	29764	31782	24300	11031	18751	21284	29919	182700	26734	31542	103089	14193	42745	29962	80667	18576	43420	56186	62099	59996	22854	40759
"Tetradecan-1-ol,_n-_(1TMS)_592555.94_PRED"	39468	38056	41983	42268	42893	38227	44375	13267	44157	43676	42252	39491	42787	45852	42735	49780	40682	40948	46463	42556	39473	43771
Tetradecanoic_acid_(1TMS)_616607.75_PRED	4373	2518	2064	1358	3534	4573	2061	5315	1919	3514	2615	6783	2210	2753	1179	1580	2999	2278	1611	2551	2031	3530
Tetradecanoic_acid_methyl_ester_(FAME_MIX)_489255.38_PRED	403635	308916	298003	202324	249110	380272	219365	1620949	160879	318088	307156	278276	207571	217232	195091	176629	219653	401701	179006	195575	327126	199672
"Tetradecenoic_acid_methyl_ester,_9-(Z)-,_n-_572839.69_PRED"	2067	1411	1036	1007	1189	894	1049	8758	1498	1373	1381	844	1141	1034	1648	596	1246	2112	1845	1503	1135	1750
ThreoNaNte (4TMS) [MP-1.1]	1920	1367	900	1194	1281	1727	1186	38891	NaN	1481	2320	2064	1402	1353	4569	636	949	1781	902	2032	1194	913
Threonine (3TMS) [MP-1.1]	13314	9132	8266	7075	8407	12290	7115	36976	8818	11205	7951	14017	18847	7588	8527	4928	7960	10949	5859	10453	10027	6182
"Threonine,_O-methyl-,_L-_(2TMS)_334293.72_PRED"	2041	2004	1490	1706	2340	2208	1990	6767	1111	2121	2113	2827	1281	1778	1641	944	1615	2898	1204	1987	NaN	1272
Threonine_(2TMS)_341020.03_PRED	36657	27306	27275	19264	22279	33706	22826	105452	17016	36894	35958	38110	15562	16791	25350	9362	25431	44138	18343	33063	29554	17143
"Tridecan-1-ol,_n-_(1TMS)_547762.06_PRED"	31722	34212	24693	27218	39253	35987	37284	10140	42172	44393	37482	41831	19200	27177	32675	15437	27739	51256	18659	57127	32240	19849
"Tridecane,_n-_342778.75_PRED"	90328	69448	68816	49810	58969	87950	59919	275130	46079	92620	92193	99780	38358	44740	67477	25334	63858	110577	46829	88865	74950	43922
Tridecanoic_acid_586610.62_PRED	33728	32508	35918	36586	37688	32407	38306	7650	38487	37691	36325	33911	36899	38795	36542	43487	35943	34279	40160	35191	33332	37579
Triethanolamine_(3TMS)_493189.91_PRED	68296	49306	50672	31047	38471	64154	33743	250517	23077	49533	47779	41986	34623	34225	28113	30272	34470	61749	28965	27714	53519	32877
Tropine_(1TMS)_336960.03_PRED	34794	35566	25854	26735	37458	36720	34088	86883	13745	29155	37364	39243	19351	24384	28479	15416	23980	40895	17475	21810	34545	17725
Tropinone_(1MEOX)_343648.91_PRED	31418	23339	24364	16839	19518	30206	20418	91546	15303	31438	30809	34028	13765	14802	21773	8555	21455	38247	15965	30411	25173	14874
Tryptophan (3TMS) [MP-1.1]	3996	873	459	1140	1489	1323	1160	10988	1590	1321	525	598	363	968	475	737	735	938	267	1380	888	859
Tryptophan_(2TMS)_815325.06_TRUE	712	652	518	496	703	795	619	3927	781	876	852	912	392	592	735	324	575	1082	347	1218	718	429
Tyrosine (3TMS) [MP-1.1]	10048	3792	3776	3717	4493	7823	4764	30153	5392	7685	3906	6858	3138	4169	3944	2549	4613	5115	1778	3987	5453	3906
Uracil (2TMS) [MP-1.1]	780	388	247	460	442	593	287	8275	519	433	341	313	2415	528	319	317	NaN	364	149	621	274	195
Uracil_(2TMS)_392037.44_TRUE	780	388	247	460	442	593	287	8275	519	433	341	313	2415	528	319	317	243	364	149	621	274	195
Urea (2TMS) [MP-1.1]	182444	126213	129783	91903	105802	165696	110191	506951	83536	170763	173650	184943	73686	83774	122820	46167	115133	208334	89621	151364	139598	84040
"Valeric_acid,_3-hydroxy-3-methyl-_(1TMS)_235895.11_PRED"	9729	5466	4910	10579	5064	15995	4824	33835	9317	6142	5083	6475	3045	1718	4150	3576	4143	6946	3644	4916	5255	1989
Valine (2TMS) [MP-1.1]	28628	9651	10121	8067	9033	17403	8942	36759	9866	12434	13571	15925	8216	8557	10200	5767	9900	17491	5817	14339	13382	7821
