putative Compound	hum_101_9 _mus	hum_102_9 _mus	hum_103_9 _mus	hum_104_9 _mus	hum_105_9 _mus	hum_106_9 _mus	hum_120_9 _mus	hum_120_9 _mus	hum_121_9 _mus	hum_141_9 _mus	hum_153_9 _mus	hum_98_9 _mus	Wt_132_9 _mus	Wt_133_9 _mus	Wt_134_9 _mus	Wt_135_9 _mus	Wt_142_9 _mus	Wt_147_9 _mus	Wt_148_9 _mus	Wt_152_9 _mus	Wt_91_9 _mus	Wt_wt9_9 _mus
"Butanoate, 4-Amino- (2TMS) [MP-2.1]"	67474	51049	51181	36419	42513	64461	44435	204817	34010	69081	68723	74197	29453	33019	52108	18414	47627	83153	35392	65674	55163	31813
"Butanoic_acid,_2,4-diamino-_(4TMS)_519172.62_TRUE"	861	876	1429	3680	1155	3247	843	NaN	754	645	661	618	750	372	4425	NaN	712	1214	404	976	NaN	673
"Butanoic_acid,_2-amino-_(2TMS)_249223.84_TRUE"	836	500	291	511	749	745	631	4418	565	564	758	553	232	301	534	388	513	901	363	898	411	312
"Butanoic_acid,_2-oxo-_(1MEOX)_(1TMS)_MP_252911.77_PRED"	41265	67647	57206	99977	122888	126542	138640	890100	152162	75640	107030	173238	37869	88332	64105	35155	65122	191576	33260	271833	72816	24571
"Butanoic_acid,_3-hydroxy-_(2TMS)_249401.72_PRED"	439	783	533	503	1744	498	1572	7033	655	469	2204	428	607	523	1157	1046	461	2934	1285	2100	442	330
"Butanoic_acid,_4-amino-_(2TMS)_342578.41_TRUE"	15451	11444	11683	8618	9533	14290	9756	45054	7530	14760	14861	15846	6638	7518	10393	4163	10628	17334	7597	13615	12479	7123
"Butyrate, 2-Amino- [MP-1.1]"	818	500	291	471	749	745	631	4418	565	564	758	789	395	618	549	388	553	901	363	1122	374	647
"Butyric_acid,_3-amino-,_DL-_(2TMS)_281258.31_PRED"	17303	36689	25036	1071	19677	1624	19984	122282	1892	50178	44394	48421	19634	1358	14438	952	28987	56474	19615	61146	30942	12465
"Butyro-1,4-lactam_(1TMS)_241244.02_PRED"	15839	8973	8126	16674	8515	24727	7695	53946	15192	10186	8046	10546	5055	2949	6998	6172	7132	10768	6005	8283	8489	3353
Calystegine_A3_(1MEOX)_(3TMS)_MP_554707.88_PRED	1200	1170	1005	760	1234	1392	1192	498	1199	1427	1289	1314	768	824	914	532	851	1868	667	1503	1003	791
Calystegine_B4_(1MEOX)_(3TMS)_598843.25_PRED	4843	4737	5334	4606	5014	4897	4563	4740	5329	5607	4772	5369	4504	4959	4668	4870	4571	5436	4517	5211	4860	4316
"Caproic_acid,_2-oxo-_(1MEOX)_(1TMS)_326540.84_PRED"	3015	2004	1748	951	2678	1261	1667	5968	1469	2615	1525	3695	1508	1874	528	1006	1492	3063	1233	2715	1621	1543
